GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,,,,,,,,,,
Id,Id2,Geography,Estimate, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Total:,Margin of Error, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Total:,Estimate, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Total,Margin of Error, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Total,"Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months",Estimate, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Other,Margin of Error, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Other,Estimate, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Total,Margin of Error, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Total,"Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months",Estimate, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Other,Margin of Error, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Other
5001500US0101,101,"Congressional District 1 (115th Congress), Alabama",32797,919,41234,649,51326,599,11656,485,25788,626,37083,712,10227,525,,,,,,,,,,
5001500US0102,102,"Congressional District 2 (115th Congress), Alabama",31759,310,39512,813,48702,948,10763,557,25199,497,35237,710,9799,468,,,,,,,,,,
5001500US0103,103,"Congressional District 3 (115th Congress), Alabama",30899,364,36745,587,47207,1081,10454,520,24614,643,36342,718,9438,633,,,,,,,,,,
5001500US0104,104,"Congressional District 4 (115th Congress), Alabama",28099,624,34361,931,42851,921,11053,408,22240,321,32113,480,9519,366,,,,,,,,,,
5001500US0105,105,"Congressional District 5 (115th Congress), Alabama",32653,720,42018,582,54349,1136,11160,392,25329,490,37740,1315,9824,516,,,,,,,,,,
5001500US0106,106,"Congressional District 6 (115th Congress), Alabama",40083,548,49563,1149,58824,1859,11757,467,31253,511,43623,841,10948,397,,,,,,,,,,
5001500US0107,107,"Congressional District 7 (115th Congress), Alabama",29303,1208,35066,1376,49685,1549,8785,813,22974,1146,38984,1383,6878,372,,,,,,,,,,
5001500US0200,200,"Congressional District (at Large) (115th Congress), Alaska",44078,680,52135,552,64382,910,24469,1583,35795,603,51652,654,15240,644,,,,,,,,,,
5001500US0401,401,"Congressional District 1 (115th Congress), Arizona",30692,396,36254,717,50432,760,10928,463,24583,851,39553,928,9566,449,,,,,,,,,,
5001500US0402,402,"Congressional District 2 (115th Congress), Arizona",30575,381,35230,812,48665,1417,11830,402,26162,552,38715,1031,11095,341,,,,,,,,,,
5001500US0403,403,"Congressional District 3 (115th Congress), Arizona",25567,390,29739,759,40114,555,9742,424,21566,514,32975,789,9321,403,,,,,,,,,,
5001500US0404,404,"Congressional District 4 (115th Congress), Arizona",27445,644,32319,673,45540,1334,11203,402,23275,685,35884,759,10317,396,,,,,,,,,,
5001500US0405,405,"Congressional District 5 (115th Congress), Arizona",39173,698,47312,808,60499,661,11813,419,31673,424,44700,809,11684,354,,,,,,,,,,
5001500US0406,406,"Congressional District 6 (115th Congress), Arizona",40683,430,47086,812,60587,645,15098,671,34885,710,47411,1099,12409,461,,,,,,,,,,
5001500US0407,407,"Congressional District 7 (115th Congress), Arizona",25790,347,27119,400,32691,869,11715,401,23433,832,31702,479,10675,299,,,,,,,,,,
5001500US0408,408,"Congressional District 8 (115th Congress), Arizona",37156,437,43133,1133,53986,791,12236,390,31922,480,42318,434,11571,356,,,,,,,,,,
5001500US0409,409,"Congressional District 9 (115th Congress), Arizona",33873,791,37000,640,49263,1229,11666,335,31042,476,42111,485,11634,348,,,,,,,,,,
5001500US0501,501,"Congressional District 1 (115th Congress), Arkansas",28150,516,33066,704,41521,389,11449,480,22889,523,32047,442,9655,440,,,,,,,,,,
5001500US0502,502,"Congressional District 2 (115th Congress), Arkansas",32935,622,38865,1118,49101,998,11209,557,28009,771,38782,1076,10270,375,,,,,,,,,,
5001500US0503,503,"Congressional District 3 (115th Congress), Arkansas",29987,409,35068,617,43919,966,11085,485,24856,444,34799,782,10010,371,,,,,,,,,,
5001500US0504,504,"Congressional District 4 (115th Congress), Arkansas",27810,595,33459,938,42284,636,10573,416,22662,534,32059,464,9297,432,,,,,,,,,,
5001500US0601,601,"Congressional District 1 (115th Congress), California",28176,669,33752,1309,50940,670,11746,456,23510,704,39365,1113,11451,312,,,,,,,,,,
5001500US0602,602,"Congressional District 2 (115th Congress), California",37008,492,43850,1688,68580,2574,15599,664,31102,531,54172,1666,14424,554,,,,,,,,,,
5001500US0603,603,"Congressional District 3 (115th Congress), California",31810,408,39281,1220,54681,1291,12864,682,25504,610,43033,1129,10156,400,,,,,,,,,,
5001500US0604,604,"Congressional District 4 (115th Congress), California",40086,667,48891,1298,67801,1431,14484,731,31688,599,52115,858,12501,562,,,,,,,,,,
5001500US0605,605,"Congressional District 5 (115th Congress), California",38013,881,43159,1207,60650,783,15129,831,31770,552,52297,818,13841,770,,,,,,,,,,
5001500US0606,606,"Congressional District 6 (115th Congress), California",35069,754,37775,1427,50619,723,14133,884,31359,623,46746,1568,12319,430,,,,,,,,,,
5001500US0607,607,"Congressional District 7 (115th Congress), California",39916,761,45307,1109,61670,878,14062,884,33597,1042,51584,714,13286,633,,,,,,,,,,
5001500US0608,608,"Congressional District 8 (115th Congress), California",30385,513,36852,921,48718,1867,12183,518,23612,913,39786,1551,11349,360,,,,,,,,,,
5001500US0609,609,"Congressional District 9 (115th Congress), California",34515,877,40916,716,57247,1713,14280,915,27037,663,45559,1068,11957,470,,,,,,,,,,
5001500US0610,610,"Congressional District 10 (115th Congress), California",31899,384,39567,1367,51979,676,12269,535,25023,767,41565,683,11265,354,,,,,,,,,,
5001500US0611,611,"Congressional District 11 (115th Congress), California",48345,1236,59791,2054,85062,2777,17070,912,38066,1422,61888,1071,14675,662,,,,,,,,,,
5001500US0612,612,"Congressional District 12 (115th Congress), California",72123,1069,82504,1901,103209,966,28932,3257,62058,968,81458,1341,22518,1444,,,,,,,,,,
5001500US0613,613,"Congressional District 13 (115th Congress), California",47995,1371,52844,1221,79486,2111,18485,1267,42137,946,66214,1174,17103,905,,,,,,,,,,
5001500US0614,614,"Congressional District 14 (115th Congress), California",52251,652,61991,1261,85986,2853,18995,1349,43835,1880,66615,2301,16064,846,,,,,,,,,,
5001500US0615,615,"Congressional District 15 (115th Congress), California",50183,595,60519,1228,78558,1808,16745,817,40146,927,59373,2096,15328,813,,,,,,,,,,
5001500US0616,616,"Congressional District 16 (115th Congress), California",24065,495,27735,765,39867,1098,12390,517,20098,628,34923,1185,10310,353,,,,,,,,,,
5001500US0617,617,"Congressional District 17 (115th Congress), California",54522,1588,67289,3348,91794,2339,16664,1479,42207,1252,64279,2594,13106,1082,,,,,,,,,,
5001500US0618,618,"Congressional District 18 (115th Congress), California",60947,790,80389,2601,111603,3975,18706,1621,46142,1301,75314,1748,16143,590,,,,,,,,,,
5001500US0619,619,"Congressional District 19 (115th Congress), California",43884,1400,52798,1380,72218,1620,16093,917,34431,1828,55801,1873,13726,663,,,,,,,,,,
