GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,,,,,,,,,,
Id,Id2,Geography,Estimate, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Total:,Margin of Error, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Total:,Estimate, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Total,Margin of Error, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Total,"Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months",Estimate, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Other,Margin of Error, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Other,Estimate, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Total,Margin of Error, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Total,"Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months",Estimate, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Other,Margin of Error, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Other
5001500US0101,101,"Congressional District 1 (115th Congress), Alabama",22089,672,25770,1143,34773,2091,9494,857,20381,701,26841,742,9494,523,,,,,,,,,,
5001500US0102,102,"Congressional District 2 (115th Congress), Alabama",22255,453,25263,811,34325,2119,7539,691,20531,447,28431,845,8470,616,,,,,,,,,,
5001500US0103,103,"Congressional District 3 (115th Congress), Alabama",23132,794,25363,692,34124,1906,7770,910,21444,877,30783,822,8334,726,,,,,,,,,,
5001500US0104,104,"Congressional District 4 (115th Congress), Alabama",21773,822,25507,1084,31139,819,11183,982,19383,1374,26806,2687,8173,1445,,,,,,,,,,
5001500US0105,105,"Congressional District 5 (115th Congress), Alabama",23864,1454,26996,1054,39068,2809,8041,1561,21459,742,31948,1065,9513,992,,,,,,,,,,
5001500US0106,106,"Congressional District 6 (115th Congress), Alabama",30889,776,35000,3086,46832,2358,9723,1340,28898,1318,37754,2407,10075,1001,,,,,,,,,,
5001500US0107,107,"Congressional District 7 (115th Congress), Alabama",21898,418,24600,650,33296,1055,8248,510,20447,436,28753,717,8945,425,,,,,,,,,,
5001500US0200,200,"Congressional District (at Large) (115th Congress), Alaska",31053,1466,32285,5283,39602,3848,9667,3230,28837,2534,41470,2366,15531,3377,,,,,,,,,,
5001500US0401,401,"Congressional District 1 (115th Congress), Arizona",23185,2507,30170,6004,45481,8118,8328,4390,19028,4769,32182,4697,5203,3574,,,,,,,,,,
