GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,,,,,,,,,,
Id,Id2,Geography,Estimate, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Total:,Margin of Error, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Total:,Estimate, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Total,Margin of Error, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Total,"Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months",Estimate, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Other,Margin of Error, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Other,Estimate, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Total,Margin of Error, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Total,"Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months",Estimate, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Other,Margin of Error, Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Other
5001500US0101,101,"Congressional District 1 (115th Congress), Alabama",23414,2729,26388,3973,31573,3773,11121,1734,19216,4092,28429,2448,9167,2958,,,,,,,,,,
5001500US0102,102,"Congressional District 2 (115th Congress), Alabama",21665,1227,23711,2451,30238,2081,10151,1711,18529,2264,28595,4216,8201,1219,,,,,,,,,,
5001500US0103,103,"Congressional District 3 (115th Congress), Alabama",20332,1773,23882,3130,31802,4844,8252,4107,15882,1732,25972,2865,7842,1627,,,,,,,,,,
5001500US0104,104,"Congressional District 4 (115th Congress), Alabama",19287,840,21002,935,24835,1404,11211,1204,15973,1549,21436,2081,7833,1354,,,,,,,,,,
5001500US0105,105,"Congressional District 5 (115th Congress), Alabama",21563,1057,22318,1676,26953,2006,10931,1766,18592,2755,30376,3053,9936,1837,,,,,,,,,,
5001500US0106,106,"Congressional District 6 (115th Congress), Alabama",21883,933,23624,1144,26280,2031,15561,3407,18472,1624,24110,2873,9043,2179,,,,,,,,,,
5001500US0107,107,"Congressional District 7 (115th Congress), Alabama",19237,1620,21901,1756,26464,1461,12174,1190,14717,1792,23109,2584,7386,1704,,,,,,,,,,
5001500US0200,200,"Congressional District (at Large) (115th Congress), Alaska",30546,1065,34037,2860,42952,4389,16677,2361,24838,1854,39522,2003,9916,2443,,,,,,,,,,
5001500US0401,401,"Congressional District 1 (115th Congress), Arizona",24851,1106,28691,1071,39125,2495,10177,982,20979,927,32509,1025,8693,530,,,,,,,,,,
5001500US0402,402,"Congressional District 2 (115th Congress), Arizona",22939,704,25251,955,35890,1025,10493,613,21174,614,31147,721,9638,744,,,,,,,,,,
5001500US0403,403,"Congressional District 3 (115th Congress), Arizona",22275,293,25642,537,33805,1023,10512,341,18817,566,29104,771,9251,381,,,,,,,,,,
5001500US0404,404,"Congressional District 4 (115th Congress), Arizona",23406,855,26722,903,34096,2005,10114,1348,19689,997,29066,2088,9548,883,,,,,,,,,,
5001500US0405,405,"Congressional District 5 (115th Congress), Arizona",29708,1271,32292,893,41983,977,11719,686,24980,1242,37190,1692,10418,652,,,,,,,,,,
5001500US0406,406,"Congressional District 6 (115th Congress), Arizona",26100,760,28136,1552,35064,1624,12182,972,23755,1509,32485,1529,9951,1027,,,,,,,,,,
5001500US0407,407,"Congressional District 7 (115th Congress), Arizona",22073,246,24388,575,29743,690,11258,477,19867,484,26272,469,9680,476,,,,,,,,,,
5001500US0408,408,"Congressional District 8 (115th Congress), Arizona",29544,999,31831,858,40677,885,11279,883,26805,940,34585,1723,10741,789,,,,,,,,,,
5001500US0409,409,"Congressional District 9 (115th Congress), Arizona",24459,698,26049,718,31569,546,11197,578,22364,758,30483,818,10466,542,,,,,,,,,,
5001500US0501,501,"Congressional District 1 (115th Congress), Arkansas",21600,1251,23518,2201,27134,1526,11837,1371,17304,3730,24045,2686,7254,1975,,,,,,,,,,
5001500US0502,502,"Congressional District 2 (115th Congress), Arkansas",24103,1340,25703,1050,30452,993,11895,1779,19620,1590,27921,4078,10630,1185,,,,,,,,,,
