GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate:,Margin of Error; Less than high school graduate:,Estimate; Less than high school graduate: - In labor force:,Margin of Error; Less than high school graduate: - In labor force:,Estimate; Less than high school graduate: - In labor force: - In Armed Forces,Margin of Error; Less than high school graduate: - In labor force: - In Armed Forces,Estimate; Less than high school graduate: - In labor force: - Civilian:,Margin of Error; Less than high school graduate: - In labor force: - Civilian:,Estimate; Less than high school graduate: - In labor force: - Civilian: - Employed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Employed,Estimate; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Estimate; Less than high school graduate: - Not in labor force,Margin of Error; Less than high school graduate: - Not in labor force,Estimate; High school graduate (includes equivalency):,Margin of Error; High school graduate (includes equivalency):,Estimate; High school graduate (includes equivalency): - In labor force:,Margin of Error; High school graduate (includes equivalency): - In labor force:,Estimate; High school graduate (includes equivalency): - In labor force: - In Armed Forces,Margin of Error; High school graduate (includes equivalency): - In labor force: - In Armed Forces,Estimate; High school graduate (includes equivalency): - In labor force: - Civilian:,Margin of Error; High school graduate (includes equivalency): - In labor force: - Civilian:,Estimate; High school graduate (includes equivalency): - In labor force: - Civilian: - Employed,Margin of Error; High school graduate (includes equivalency): - In labor force: - Civilian: - Employed,Estimate; High school graduate (includes equivalency): - In labor force: - Civilian: - Unemployed,Margin of Error; High school graduate (includes equivalency): - In labor force: - Civilian: - Unemployed,Estimate; High school graduate (includes equivalency): - Not in labor force,Margin of Error; High school graduate (includes equivalency): - Not in labor force,Estimate; Some college or associate's degree:,Margin of Error; Some college or associate's degree:,Estimate; Some college or associate's degree: - In labor force:,Margin of Error; Some college or associate's degree: - In labor force:,Estimate; Some college or associate's degree: - In labor force: - In Armed Forces,Margin of Error; Some college or associate's degree: - In labor force: - In Armed Forces,Estimate; Some college or associate's degree: - In labor force: - Civilian:,Margin of Error; Some college or associate's degree: - In labor force: - Civilian:,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Employed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Employed,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Estimate; Some college or associate's degree: - Not in labor force,Margin of Error; Some college or associate's degree: - Not in labor force,Estimate; Bachelor's degree or higher:,Margin of Error; Bachelor's degree or higher:,Estimate; Bachelor's degree or higher: - In labor force:,Margin of Error; Bachelor's degree or higher: - In labor force:,Estimate; Bachelor's degree or higher: - In labor force: - In Armed Forces,Margin of Error; Bachelor's degree or higher: - In labor force: - In Armed Forces,Estimate; Bachelor's degree or higher: - In labor force: - Civilian:,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian:,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Estimate; Bachelor's degree or higher: - Not in labor force,Margin of Error; Bachelor's degree or higher: - Not in labor force
5001500US0101,0101,"Congressional District 1 (115th Congress), Alabama",361742,536,42268,1606,19991,1199,0,27,19991,1199,16986,1114,3005,474,22277,1133,114794,2356,74280,1964,208,139,74072,1948,68242,1922,5830,602,40514,1692,116236,2635,86296,2480,330,125,85966,2476,80636,2296,5330,624,29940,1324,88444,2193,74348,2017,326,135,74022,2028,72055,1956,1967,317,14096,921
5001500US0102,0102,"Congressional District 2 (115th Congress), Alabama",352487,1051,49326,1408,23754,1105,12,16,23742,1109,20346,996,3396,470,25572,857,110601,2012,74177,1690,386,121,73791,1707,68118,1575,5673,575,36424,1273,112018,1862,84457,1716,1921,322,82536,1638,78218,1764,4318,435,27561,1037,80542,1645,67299,1601,2254,339,65045,1621,63297,1602,1748,307,13243,660
5001500US0103,0103,"Congressional District 3 (115th Congress), Alabama",360707,770,49635,1613,23822,1156,0,27,23822,1156,20819,1046,3003,407,25813,1136,111074,2361,75218,2106,166,82,75052,2115,69691,1974,5361,603,35856,1353,118825,2161,89219,1855,1170,314,88049,1843,83482,1782,4567,547,29606,1177,81173,1990,67911,1953,1032,295,66879,1887,65057,1828,1822,272,13262,792
5001500US0104,0104,"Congressional District 4 (115th Congress), Alabama",350535,1199,59750,1847,29339,1154,0,27,29339,1154,26269,1092,3070,422,30411,1382,115079,2296,74253,1960,9,13,74244,1960,69593,1936,4651,408,40826,1371,113959,2247,83329,2083,145,90,83184,2069,79073,2010,4111,401,30630,1172,61747,1855,50557,1572,60,31,50497,1576,49154,1526,1343,260,11190,766
5001500US0105,0105,"Congressional District 5 (115th Congress), Alabama",375666,399,43220,1750,22887,1115,0,27,22887,1115,19871,950,3016,472,20333,1182,96941,2336,65151,1804,12,16,65139,1801,60880,1784,4259,539,31790,1345,114312,2266,87390,2231,278,156,87112,2194,82061,2217,5051,599,26922,1440,121193,2630,102295,2398,595,189,101700,2385,98684,2350,3016,391,18898,940
5001500US0106,0106,"Congressional District 6 (115th Congress), Alabama",372647,1652,32966,1199,17390,1008,0,27,17390,1008,15804,926,1586,282,15576,823,87771,2061,59887,1644,12,20,59875,1643,56683,1616,3192,400,27884,1150,109704,2249,84598,2173,216,123,84382,2188,80389,2120,3993,460,25106,949,142206,2438,121941,2296,287,104,121654,2294,118901,2288,2753,296,20265,832
5001500US0107,0107,"Congressional District 7 (115th Congress), Alabama",340821,2032,47200,1744,21580,1274,13,26,21567,1275,17564,1151,4003,478,25620,1096,111486,2254,70634,2177,29,48,70605,2176,62718,1947,7887,718,40852,1424,112322,2239,82356,2108,70,66,82286,2109,75805,2115,6481,514,29966,1183,69813,1953,57866,1675,150,81,57716,1675,55934,1675,1782,292,11947,680
5001500US0200,0200,"Congressional District (at Large) (115th Congress), Alaska",401102,428,26187,942,15613,738,5,10,15608,738,13449,653,2159,266,10574,572,112920,1826,83945,1864,1365,229,82580,1839,73661,1783,8919,514,28975,945,146796,2183,118816,2045,5303,418,113513,2033,107187,2077,6326,430,27980,990,115199,2075,100203,1993,3223,392,96980,1947,94509,1956,2471,361,14996,778
5001500US0401,0401,"Congressional District 1 (115th Congress), Arizona",354867,2143,46590,1374,21506,1039,0,29,21506,1039,17728,999,3778,371,25084,1010,98029,2081,59667,1603,75,61,59592,1598,53134,1571,6458,517,38362,1257,130661,2026,91953,1893,226,106,91727,1884,84830,1856,6897,568,38708,1219,79587,2185,63224,1929,95,56,63129,1930,61255,1848,1874,299,16363,825
