GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate:,Margin of Error; Less than high school graduate:,Estimate; Less than high school graduate: - In labor force:,Margin of Error; Less than high school graduate: - In labor force:,Estimate; Less than high school graduate: - In labor force: - In Armed Forces,Margin of Error; Less than high school graduate: - In labor force: - In Armed Forces,Estimate; Less than high school graduate: - In labor force: - Civilian:,Margin of Error; Less than high school graduate: - In labor force: - Civilian:,Estimate; Less than high school graduate: - In labor force: - Civilian: - Employed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Employed,Estimate; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Estimate; Less than high school graduate: - Not in labor force,Margin of Error; Less than high school graduate: - Not in labor force,Estimate; High school graduate (includes equivalency):,Margin of Error; High school graduate (includes equivalency):,Estimate; High school graduate (includes equivalency): - In labor force:,Margin of Error; High school graduate (includes equivalency): - In labor force:,Estimate; High school graduate (includes equivalency): - In labor force: - In Armed Forces,Margin of Error; High school graduate (includes equivalency): - In labor force: - In Armed Forces,Estimate; High school graduate (includes equivalency): - In labor force: - Civilian:,Margin of Error; High school graduate (includes equivalency): - In labor force: - Civilian:,Estimate; High school graduate (includes equivalency): - In labor force: - Civilian: - Employed,Margin of Error; High school graduate (includes equivalency): - In labor force: - Civilian: - Employed,Estimate; High school graduate (includes equivalency): - In labor force: - Civilian: - Unemployed,Margin of Error; High school graduate (includes equivalency): - In labor force: - Civilian: - Unemployed,Estimate; High school graduate (includes equivalency): - Not in labor force,Margin of Error; High school graduate (includes equivalency): - Not in labor force,Estimate; Some college or associate's degree:,Margin of Error; Some college or associate's degree:,Estimate; Some college or associate's degree: - In labor force:,Margin of Error; Some college or associate's degree: - In labor force:,Estimate; Some college or associate's degree: - In labor force: - In Armed Forces,Margin of Error; Some college or associate's degree: - In labor force: - In Armed Forces,Estimate; Some college or associate's degree: - In labor force: - Civilian:,Margin of Error; Some college or associate's degree: - In labor force: - Civilian:,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Employed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Employed,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Estimate; Some college or associate's degree: - Not in labor force,Margin of Error; Some college or associate's degree: - Not in labor force,Estimate; Bachelor's degree or higher:,Margin of Error; Bachelor's degree or higher:,Estimate; Bachelor's degree or higher: - In labor force:,Margin of Error; Bachelor's degree or higher: - In labor force:,Estimate; Bachelor's degree or higher: - In labor force: - In Armed Forces,Margin of Error; Bachelor's degree or higher: - In labor force: - In Armed Forces,Estimate; Bachelor's degree or higher: - In labor force: - Civilian:,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian:,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Estimate; Bachelor's degree or higher: - Not in labor force,Margin of Error; Bachelor's degree or higher: - Not in labor force
0400000US01,01,Alabama,2514605,1129,324365,3938,158763,2595,25,30,158738,2599,137659,2566,21079,1007,165602,2823,747746,6923,493600,5477,822,217,492778,5484,455925,5516,36853,1323,254146,3567,797376,6479,597645,6134,4130,522,593515,6040,559664,5828,33851,1207,199731,2872,645118,6524,542217,5906,4704,549,537513,5928,523082,5633,14431,777,102901,2267
0400000US02,02,Alaska,401102,428,26187,942,15613,738,5,10,15608,738,13449,653,2159,266,10574,572,112920,1826,83945,1864,1365,229,82580,1839,73661,1783,8919,514,28975,945,146796,2183,118816,2045,5303,418,113513,2033,107187,2077,6326,430,27980,990,115199,2075,100203,1993,3223,392,96980,1947,94509,1956,2471,361,14996,778
0400000US04,04,Arizona,3409813,633,462748,4537,276827,3934,30,32,276797,3938,249134,3771,27663,1335,185921,2947,798113,6199,550784,4834,1018,203,549766,4832,507562,4742,42204,1522,247329,3540,1176207,6991,894064,6466,6043,570,888021,6429,838126,6925,49895,1603,282143,3200,972745,7938,809064,7098,3501,337,805563,7067,780261,7036,25302,1175,163681,2644
0400000US05,05,Arkansas,1509603,1051,188642,3345,101644,2253,35,39,101609,2256,92080,2281,9529,829,86998,1977,508200,5099,342700,3974,240,114,342460,3965,321157,3791,21303,1108,165500,2561,463632,4315,347049,3782,1854,374,345195,3656,328139,3572,17056,954,116583,2386,349129,4943,295232,4564,1065,196,294167,4518,287806,4650,6361,626,53897,1429
0400000US06,06,California,20802370,1088,3483507,16086,2274933,11692,236,97,2274697,11704,2064938,11123,209759,3727,1208574,8186,4242910,22329,3086924,18182,12965,1014,3073959,18274,2820058,17981,253901,4038,1155986,9737,6176943,15673,4793416,15486,32365,1564,4761051,15489,4443507,14656,317544,4212,1383527,7523,6899010,31516,5882755,28909,23626,1220,5859129,28833,5617763,27729,241366,3614,1016255,6390
0400000US08,08,Colorado,2961081,1024,253513,4462,169418,3579,54,50,169364,3586,157438,3335,11926,823,84095,2163,612691,5685,457424,3903,2469,372,454955,3877,428957,3864,25998,1248,155267,3149,903310,4991,725499,4579,9170,628,716329,4626,683838,4539,32491,1432,177811,3156,1191567,7536,1030375,7088,7742,622,1022633,7049,993052,7084,29581,1089,161192,2582
0400000US09,09,Connecticut,1904540,478,152737,3117,96779,2514,18,28,96761,2513,84251,2333,12510,787,55958,1765,486598,5227,377803,4924,596,174,377207,4920,343846,4373,33361,1348,108795,2282,490564,3965,408550,3492,2208,326,406342,3507,380380,3354,25962,1183,82014,2289,774641,5932,675500,5653,1612,314,673888,5598,651536,5642,22352,1006,99141,2016
0400000US10,10,Delaware,490975,322,48000,1646,28263,1242,0,27,28263,1242,25151,1270,3112,407,19737,1160,145785,2421,104579,2198,191,88,104388,2207,96521,2012,7867,690,41206,1390,137930,2133,111782,2107,1296,316,110486,2105,105113,2140,5373,478,26148,998,159260,2567,138875,2515,690,163,138185,2494,134118,2379,4067,451,20385,884
0400000US11,11,District of Columbia,398074,115,32608,1363,19459,970,0,29,19459,970,16633,996,2826,369,13149,817,65630,1851,43825,1508,51,46,43774,1514,36282,1330,7492,672,21805,1043,62492,1721,48153,1504,376,119,47777,1494,42322,1304,5455,551,14339,871,237344,1813,216522,1857,1613,282,214909,1813,207880,1779,7029,654,20822,1074
