GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - 16 to 64 years:,Margin of Error; Male: - 16 to 64 years:,Estimate; Male: - 16 to 64 years: - In labor force:,Margin of Error; Male: - 16 to 64 years: - In labor force:,Estimate; Male: - 16 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 16 to 64 years: - In labor force: - In Armed Forces,Estimate; Male: - 16 to 64 years: - In labor force: - Civilian:,Margin of Error; Male: - 16 to 64 years: - In labor force: - Civilian:,Estimate; Male: - 16 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 16 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 16 to 64 years: - Not in labor force,Margin of Error; Male: - 16 to 64 years: - Not in labor force,Estimate; Male: - 65 years and over:,Margin of Error; Male: - 65 years and over:,Estimate; Male: - 65 years and over: - In labor force:,Margin of Error; Male: - 65 years and over: - In labor force:,Estimate; Male: - 65 years and over: - In labor force: - Employed,Margin of Error; Male: - 65 years and over: - In labor force: - Employed,Estimate; Male: - 65 years and over: - In labor force: - Unemployed,Margin of Error; Male: - 65 years and over: - In labor force: - Unemployed,Estimate; Male: - 65 years and over: - Not in labor force,Margin of Error; Male: - 65 years and over: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - 16 to 64 years:,Margin of Error; Female: - 16 to 64 years:,Estimate; Female: - 16 to 64 years: - In labor force:,Margin of Error; Female: - 16 to 64 years: - In labor force:,Estimate; Female: - 16 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 16 to 64 years: - In labor force: - In Armed Forces,Estimate; Female: - 16 to 64 years: - In labor force: - Civilian:,Margin of Error; Female: - 16 to 64 years: - In labor force: - Civilian:,Estimate; Female: - 16 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 16 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 16 to 64 years: - Not in labor force,Margin of Error; Female: - 16 to 64 years: - Not in labor force,Estimate; Female: - 65 years and over:,Margin of Error; Female: - 65 years and over:,Estimate; Female: - 65 years and over: - In labor force:,Margin of Error; Female: - 65 years and over: - In labor force:,Estimate; Female: - 65 years and over: - In labor force: - Employed,Margin of Error; Female: - 65 years and over: - In labor force: - Employed,Estimate; Female: - 65 years and over: - In labor force: - Unemployed,Margin of Error; Female: - 65 years and over: - In labor force: - Unemployed,Estimate; Female: - 65 years and over: - Not in labor force,Margin of Error; Female: - 65 years and over: - Not in labor force
0400000US01,01,Alabama,1000047,1570,454708,1140,397800,1090,250593,2370,1496,307,249097,2346,216324,2408,32773,1378,147207,2435,56908,233,8600,493,8211,486,389,110,48308,558,545339,1028,460220,969,307115,2441,526,160,306589,2479,271529,2544,35060,1427,153105,2437,85119,231,10295,583,9925,574,370,107,74824,599
0400000US02,02,Alaska,18910,526,11302,371,10650,369,8470,494,1381,259,7089,486,6334,504,755,219,2180,348,652,72,139,73,123,73,16,26,513,82,7608,316,6844,299,5352,337,330,122,5022,352,4595,372,427,171,1492,264,764,99,41,33,41,33,0,20,723,102
0400000US04,04,Arizona,223430,1606,117008,1038,105857,1008,73931,1283,1363,248,72568,1324,65382,1274,7186,643,31926,1088,11151,179,2652,313,2363,286,289,181,8499,350,106422,975,93339,910,65684,1320,289,117,65395,1333,58840,1370,6555,527,27655,1143,13083,260,2052,277,1892,276,160,84,11031,362
0400000US05,05,Arkansas,346651,1136,162031,756,143131,749,87868,1455,316,157,87552,1456,75782,1411,11770,871,55263,1484,18900,199,3065,284,2781,269,284,104,15835,335,184620,889,157837,851,104713,1573,269,178,104444,1565,93551,1629,10893,923,53124,1608,26783,223,3118,304,3029,305,89,52,23665,401
0400000US06,06,California,1824067,4294,896239,2748,783601,2781,520114,3888,11599,926,508515,3841,434620,4156,73895,2327,263487,3517,112638,494,22853,893,20821,844,2032,302,89785,835,927828,2621,773917,2479,524367,3366,2405,362,521962,3317,455340,3085,66622,2199,249550,3394,153911,673,21896,789,20433,746,1463,254,132015,1000
0400000US08,08,Colorado,171029,1552,92094,1135,83512,1110,61887,1185,2405,327,59482,1202,54592,1229,4890,612,21625,1118,8582,222,1646,246,1589,242,57,38,6936,281,78935,1068,68814,1044,50275,1173,699,210,49576,1171,44951,1195,4625,561,18539,1045,10121,206,1482,206,1442,206,40,31,8639,264
0400000US09,09,Connecticut,294548,1968,138468,1256,123393,1200,91005,1270,558,175,90447,1288,76746,1429,13701,867,32388,1003,15075,210,3755,341,3522,313,233,105,11320,386,156080,1189,132601,1135,102181,1459,182,130,101999,1479,90540,1523,11459,782,30420,1170,23479,247,4876,373,4323,352,553,171,18603,412
0400000US10,10,Delaware,160151,1024,73524,637,64180,630,45013,852,330,135,44683,852,40170,904,4513,567,19167,886,9344,79,2243,276,2169,278,74,44,7101,278,86627,693,73466,671,52816,1171,120,94,52696,1168,48821,1260,3875,474,20650,1135,13161,107,2298,290,2118,281,180,70,10863,322
0400000US11,11,District of Columbia,259069,964,114077,604,96690,607,64844,1247,394,128,64450,1245,53302,1234,11148,696,31846,1126,17387,129,3622,315,3359,310,263,117,13765,324,144992,621,115723,587,78281,1322,86,68,78195,1323,66537,1438,11658,711,37442,1250,29269,228,4552,373,4347,363,205,69,24717,400
