GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Id2,Geography,Estimate, Total:,Margin of Error, Total:,Estimate, Male:,Margin of Error, Male:,Estimate, Male: - 16 to 64 years:,Margin of Error, Male: - 16 to 64 years:,Estimate, Male: - 16 to 64 years: - In labor force:,Margin of Error, Male: - 16 to 64 years: - In labor force:,Estimate, Male: - 16 to 64 years: - In labor force: - In Armed Forces,Margin of Error, Male: - 16 to 64 years: - In labor force: - In Armed Forces,Estimate, Male: - 16 to 64 years: - In labor force: - Civilian:,Margin of Error, Male: - 16 to 64 years: - In labor force: - Civilian:,Estimate, Male: - 16 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error, Male: - 16 to 64 years: - In labor force: - Civilian: - Employed,Estimate, Male: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error, Male: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate, Male: - 16 to 64 years: - Not in labor force,Margin of Error, Male: - 16 to 64 years: - Not in labor force,Estimate, Male: - 65 years and over:,Margin of Error, Male: - 65 years and over:,Estimate, Male: - 65 years and over: - In labor force:,Margin of Error, Male: - 65 years and over: - In labor force:,Estimate, Male: - 65 years and over: - In labor force: - Employed,Margin of Error, Male: - 65 years and over: - In labor force: - Employed,Estimate, Male: - 65 years and over: - In labor force: - Unemployed,Margin of Error, Male: - 65 years and over: - In labor force: - Unemployed,Estimate, Male: - 65 years and over: - Not in labor force,Margin of Error, Male: - 65 years and over: - Not in labor force,Estimate, Female:,Margin of Error, Female:,Estimate, Female: - 16 to 64 years:,Margin of Error, Female: - 16 to 64 years:,Estimate, Female: - 16 to 64 years: - In labor force:,Margin of Error, Female: - 16 to 64 years: - In labor force:,Estimate, Female: - 16 to 64 years: - In labor force: - In Armed Forces,Margin of Error, Female: - 16 to 64 years: - In labor force: - In Armed Forces,Estimate, Female: - 16 to 64 years: - In labor force: - Civilian:,Margin of Error, Female: - 16 to 64 years: - In labor force: - Civilian:,Estimate, Female: - 16 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error, Female: - 16 to 64 years: - In labor force: - Civilian: - Employed,Estimate, Female: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error, Female: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate, Female: - 16 to 64 years: - Not in labor force,Margin of Error, Female: - 16 to 64 years: - Not in labor force,Estimate, Female: - 65 years and over:,Margin of Error, Female: - 65 years and over:,Estimate, Female: - 65 years and over: - In labor force:,Margin of Error, Female: - 65 years and over: - In labor force:,Estimate, Female: - 65 years and over: - In labor force: - Employed,Margin of Error, Female: - 65 years and over: - In labor force: - Employed,Estimate, Female: - 65 years and over: - In labor force: - Unemployed,Margin of Error, Female: - 65 years and over: - In labor force: - Unemployed,Estimate, Female: - 65 years and over: - Not in labor force,Margin of Error, Female: - 65 years and over: - Not in labor force
5001500US0101,101,"Congressional District 1 (115th Congress), Alabama",14686,163,7803,182,7080,167,6081,281,22,31,6059,283,5789,319,270,181,999,280,723,72,218,72,213,72,5,8,505,90,6883,118,6120,118,3599,377,0,27,3599,377,3458,383,141,96,2521,380,763,33,84,66,84,66,0,27,679,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001500US0102,102,"Congressional District 2 (115th Congress), Alabama",15321,279,8357,204,7910,225,6307,251,437,159,5870,270,5550,272,320,125,1603,210,447,86,179,68,179,68,0,27,268,83,6964,168,6442,174,3770,278,81,54,3689,281,3277,274,412,132,2672,295,522,93,73,35,73,35,0,27,449,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001500US0103,103,"Congressional District 3 (115th Congress), Alabama",14273,284,8003,269,7712,291,5918,349,217,135,5701,346,5278,341,423,158,1794,348,291,114,111,66,96,59,15,24,180,90,6270,239,5757,235,3066,363,0,27,3066,363,2892,369,174,87,2691,353,513,167,64,42,64,42,0,27,449,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001500US0104,104,"Congressional District 4 (115th Congress), Alabama",26331,573,14574,459,13967,443,11118,502,0,27,11118,502,10363,508,755,234,2849,430,607,159,168,84,157,82,11,16,439,160,11757,314,11106,332,5532,513,0,27,5532,513,5116,507,416,169,5574,488,651,165,42,37,41,36,1,3,609,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001500US0105,105,"Congressional District 5 (115th Congress), Alabama",22712,180,12273,119,11641,129,10008,275,102,92,9906,277,9487,308,419,141,1633,299,632,90,237,81,237,81,0,27,395,103,10439,158,9669,166,5144,391,0,27,5144,391,4679,371,465,179,4525,432,770,94,66,47,66,47,0,27,704,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001500US0106,106,"Congressional District 6 (115th Congress), Alabama",21448,755,11467,551,11015,543,9420,570,32,45,9388,572,8975,569,413,205,1595,390,452,132,131,74,117,70,14,22,321,118,9981,371,9346,381,5260,420,0,27,5260,420,5034,426,226,83,4086,388,635,94,115,64,104,60,11,24,520,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001500US0107,107,"Congressional District 7 (115th Congress), Alabama",12405,810,6921,544,6623,543,5675,535,13,26,5662,541,5289,519,373,197,948,195,298,68,25,29,25,29,0,27,273,68,5484,425,5138,434,2510,356,13,26,2497,360,2226,323,271,114,2628,339,346,115,117,75,85,51,32,48,229,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001500US0200,200,"Congressional District (at Large) (115th Congress), Alaska",34339,235,18200,204,17372,215,14854,296,2603,372,12251,444,10952,390,1299,349,2518,280,828,87,194,86,165,75,29,42,634,120,16139,200,14992,237,10304,344,169,82,10135,360,9638,381,497,142,4688,355,1147,111,312,143,312,143,0,20,835,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001500US0401,401,"Congressional District 1 (115th Congress), Arizona",117004,1975,61089,1193,55047,1179,37485,1257,53,48,37432,1252,34050,1188,3382,446,17562,819,6042,305,775,199,715,189,60,48,5267,320,55915,1244,48931,1157,31582,1085,39,47,31543,1083,28451,1081,3092,423,17349,1038,6984,334,928,176,914,175,14,15,6056,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
