GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - 16 to 64 years:,Margin of Error; Male: - 16 to 64 years:,Estimate; Male: - 16 to 64 years: - In labor force:,Margin of Error; Male: - 16 to 64 years: - In labor force:,Estimate; Male: - 16 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 16 to 64 years: - In labor force: - In Armed Forces,Estimate; Male: - 16 to 64 years: - In labor force: - Civilian:,Margin of Error; Male: - 16 to 64 years: - In labor force: - Civilian:,Estimate; Male: - 16 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 16 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 16 to 64 years: - Not in labor force,Margin of Error; Male: - 16 to 64 years: - Not in labor force,Estimate; Male: - 65 years and over:,Margin of Error; Male: - 65 years and over:,Estimate; Male: - 65 years and over: - In labor force:,Margin of Error; Male: - 65 years and over: - In labor force:,Estimate; Male: - 65 years and over: - In labor force: - Employed,Margin of Error; Male: - 65 years and over: - In labor force: - Employed,Estimate; Male: - 65 years and over: - In labor force: - Unemployed,Margin of Error; Male: - 65 years and over: - In labor force: - Unemployed,Estimate; Male: - 65 years and over: - Not in labor force,Margin of Error; Male: - 65 years and over: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - 16 to 64 years:,Margin of Error; Female: - 16 to 64 years:,Estimate; Female: - 16 to 64 years: - In labor force:,Margin of Error; Female: - 16 to 64 years: - In labor force:,Estimate; Female: - 16 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 16 to 64 years: - In labor force: - In Armed Forces,Estimate; Female: - 16 to 64 years: - In labor force: - Civilian:,Margin of Error; Female: - 16 to 64 years: - In labor force: - Civilian:,Estimate; Female: - 16 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 16 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 16 to 64 years: - Not in labor force,Margin of Error; Female: - 16 to 64 years: - Not in labor force,Estimate; Female: - 65 years and over:,Margin of Error; Female: - 65 years and over:,Estimate; Female: - 65 years and over: - In labor force:,Margin of Error; Female: - 65 years and over: - In labor force:,Estimate; Female: - 65 years and over: - In labor force: - Employed,Margin of Error; Female: - 65 years and over: - In labor force: - Employed,Estimate; Female: - 65 years and over: - In labor force: - Unemployed,Margin of Error; Female: - 65 years and over: - In labor force: - Unemployed,Estimate; Female: - 65 years and over: - Not in labor force,Margin of Error; Female: - 65 years and over: - Not in labor force
0400000US01,01,Alabama,127176,526,69398,516,65948,590,54527,753,823,240,53704,741,50731,690,2973,462,11421,787,3450,288,1069,172,1024,165,45,36,2381,280,57778,355,53578,473,28881,811,94,60,28787,817,26682,868,2105,312,24697,844,4200,298,561,149,517,142,44,53,3639,303
0400000US02,02,Alaska,34339,235,18200,204,17372,215,14854,296,2603,372,12251,444,10952,390,1299,349,2518,280,828,87,194,86,165,75,29,42,634,120,16139,200,14992,237,10304,344,169,82,10135,360,9638,381,497,142,4688,355,1147,111,312,143,312,143,0,20,835,108
0400000US04,04,Arizona,1469036,1127,734370,859,675171,864,518935,2114,2521,352,516414,2106,478186,2461,38228,1544,156236,2397,59199,38,11537,505,10893,467,644,168,47662,502,734666,750,660545,751,416607,3019,787,192,415820,3037,379126,3088,36694,1643,243938,3029,74121,*****,8412,523,8013,496,399,131,65709,523
0400000US05,05,Arkansas,137412,544,72614,549,69088,533,56162,853,417,134,55745,874,53239,803,2506,421,12926,860,3526,284,1146,215,1103,215,43,37,2380,309,64798,479,61115,486,36728,931,79,63,36649,934,34438,874,2211,342,24387,1031,3683,249,380,149,343,145,37,40,3303,263
0400000US06,06,California,10898545,3688,5460780,2395,5032927,2404,4003554,5070,22068,1439,3981486,5369,3659489,5880,321997,3876,1029373,5638,427853,155,88188,1633,82060,1598,6128,499,339665,1667,5437765,2334,4872551,2349,3103869,7852,3198,428,3100671,7935,2799696,9030,300975,4455,1768682,7829,565214,147,65820,1589,62289,1528,3531,410,499394,1584
0400000US08,08,Colorado,807902,849,410256,758,377863,791,305022,1594,4163,452,300859,1622,282482,1635,18377,1201,72841,1620,32393,249,6563,421,6154,420,409,132,25830,460,397646,717,358060,752,239657,2328,748,206,238909,2329,220955,2365,17954,998,118403,2404,39586,167,5342,516,5133,489,209,89,34244,543
0400000US09,09,Connecticut,396864,574,196725,403,183348,412,142840,1160,929,232,141911,1200,126698,1413,15213,943,40508,1257,13377,68,3171,365,3020,358,151,91,10206,366,200139,463,181700,490,127214,1429,215,144,126999,1433,112584,1455,14415,866,54486,1460,18439,77,2626,316,2548,317,78,62,15813,320
0400000US10,10,Delaware,57262,190,29607,143,27889,143,21906,455,268,131,21638,475,20369,527,1269,282,5983,443,1718,*****,517,126,516,126,1,2,1201,126,27655,135,25596,134,15693,474,33,34,15660,472,14595,478,1065,233,9903,501,2059,*****,265,108,242,100,23,37,1794,108
0400000US11,11,District of Columbia,54421,164,27756,112,26241,112,22261,448,446,139,21815,470,20636,448,1179,302,3980,456,1515,*****,472,134,472,134,0,29,1043,135,26665,111,24253,112,19089,513,70,49,19019,512,17872,577,1147,282,5164,539,2412,*****,622,158,563,152,59,41,1790,158
0400000US12,12,Florida,3912304,1802,1911278,1277,1672696,1321,1339945,4245,7122,690,1332823,4356,1250838,4601,81985,2428,332751,4073,238582,239,49143,1535,46470,1553,2673,350,189439,1563,2001026,1267,1664452,1256,1124399,4859,1484,273,1122915,4799,1034341,4462,88574,2427,540053,5065,336574,180,34189,1445,32682,1410,1507,235,302385,1465
0400000US13,13,Georgia,630866,1135,336637,980,323283,1058,270412,1862,5830,565,264582,1908,252946,1989,11636,902,52871,1926,13354,456,4058,405,3838,398,220,110,9296,484,294229,1102,276704,1104,168883,2082,895,204,167988,2050,153014,2000,14974,1000,107821,2146,17525,478,2298,327,2216,318,82,59,15227,544
0400000US15,15,Hawaii,94663,217,48614,164,45390,163,35838,557,5501,400,30337,642,28257,700,2080,301,9552,584,3224,*****,733,145,694,138,39,58,2491,144,46049,169,42002,170,28308,726,878,213,27430,757,25397,799,2033,333,13694,726,4047,*****,739,148,732,147,7,12,3308,148
0400000US16,16,Idaho,131650,407,68429,402,64378,373,52256,782,270,106,51986,791,48996,904,2990,442,12122,742,4051,215,1242,197,1167,197,75,53,2809,276,63221,462,58618,426,38076,977,109,63,37967,983,35150,983,2817,465,20542,1036,4603,323,732,190,732,190,0,28,3871,337
0400000US17,17,Illinois,1516239,1090,778571,891,725680,870,601154,2191,1703,352,599451,2194,554867,2606,44584,1574,124526,2319,52891,207,11425,694,10885,676,540,137,41466,753,737668,824,673789,817,451402,3102,634,235,450768,3139,411190,3157,39578,1429,222387,3135,63879,210,6862,524,6570,514,292,107,57017,516
0400000US18,18,Indiana,288595,674,150818,561,142350,606,116259,1006,196,132,116063,1035,108898,1164,7165,625,26091,1119,8468,309,1907,246,1775,245,132,66,6561,317,137777,653,127875,662,80018,1255,33,34,79985,1256,73970,1225,6015,536,47857,1250,9902,271,1342,230,1236,219,106,67,8560,306
0400000US19,19,Iowa,113991,365,59937,424,57420,443,47696,689,77,66,47619,685,44178,707,3441,444,9724,596,2517,184,612,151,541,145,71,53,1905,173,54054,375,51227,409,34746,758,35,36,34711,754,32084,746,2627,329,16481,717,2827,185,381,127,381,127,0,22,2446,181
0400000US20,20,Kansas,217119,492,113480,565,106845,584,89780,845,2320,315,87460,897,82712,961,4748,537,17065,754,6635,215,2243,270,2202,268,41,34,4392,264,103639,425,96187,448,65500,1029,257,105,65243,1032,59524,1015,5719,603,30687,1135,7452,202,1427,196,1348,196,79,60,6025,238
0400000US21,21,Kentucky,98154,655,54953,681,52620,695,44043,755,1496,271,42547,833,39928,880,2619,386,8577,539,2333,224,652,154,535,150,117,93,1681,208,43201,534,40265,494,25930,770,194,123,25736,774,23591,784,2145,317,14335,736,2936,271,397,137,397,137,0,27,2539,263
0400000US22,22,Louisiana,167955,516,92848,551,85451,684,69369,818,1680,260,67689,886,63771,1045,3918,647,16082,916,7397,338,2238,272,2158,278,80,58,5159,392,75107,463,66431,525,40569,933,175,125,40394,940,36969,1002,3425,439,25862,1021,8676,217,1274,223,1182,214,92,61,7402,265
0400000US23,23,Maine,14422,166,7033,195,6471,215,4998,292,146,106,4852,292,4608,299,244,100,1473,235,562,75,209,68,178,60,31,37,353,68,7389,155,6732,205,4819,320,0,23,4819,320,4609,306,210,79,1913,290,657,101,92,58,92,58,0,23,565,103
0400000US24,24,Maryland,399877,500,209740,445,199175,471,175400,967,2014,288,173386,1008,165288,1051,8098,773,23775,960,10565,167,3925,381,3683,361,242,143,6640,429,190137,382,175334,383,126760,1387,569,160,126191,1383,116270,1522,9921,874,48574,1363,14803,126,3158,264,3066,262,92,65,11645,283
0400000US25,25,Massachusetts,546445,797,268377,552,250850,526,187035,1712,470,173,186565,1735,168923,1819,17642,864,63815,1765,17527,108,4022,405,3660,411,362,138,13505,420,278068,543,253221,538,175623,1642,126,83,175497,1652,158667,1800,16830,1027,77598,1779,24847,39,2833,332,2676,309,157,81,22014,332
0400000US26,26,Michigan,323793,495,164133,430,152055,458,119270,905,214,103,119056,887,108077,1023,10979,779,32785,908,12078,122,2197,212,2089,202,108,59,9881,228,159660,382,145565,386,96480,1304,105,66,96375,1305,87377,1311,8998,689,49085,1227,14095,132,1660,198,1598,192,62,54,12435,216
0400000US27,27,Minnesota,183843,382,96681,409,92810,397,79036,665,64,53,78972,671,74153,738,4819,411,13774,651,3871,221,886,164,847,161,39,28,2985,192,87162,416,82538,447,59286,864,17,26,59269,863,54032,936,5237,466,23252,874,4624,181,921,178,898,177,23,29,3703,214
0400000US28,28,Mississippi,60221,613,35078,694,33457,758,23839,725,769,193,23070,744,21642,755,1428,320,9618,598,1621,251,515,144,463,131,52,52,1106,200,25143,518,23176,493,13103,610,243,100,12860,615,11229,602,1631,313,10073,583,1967,259,233,90,233,90,0,30,1734,263
0400000US29,29,Missouri,161944,444,84144,578,79021,613,65241,904,1793,352,63448,912,60054,994,3394,442,13780,714,5123,260,1506,215,1456,212,50,39,3617,271,77800,512,71037,528,47063,1015,747,257,46316,1007,43185,965,3131,396,23974,945,6763,283,897,174,876,175,21,28,5866,347
0400000US30,30,Montana,24371,265,12442,301,11497,301,8896,298,298,113,8598,315,7948,321,650,183,2601,295,945,139,233,106,228,106,5,9,712,123,11929,277,10962,299,7545,418,41,46,7504,419,7259,421,245,98,3417,336,967,154,118,57,114,58,4,7,849,142
0400000US31,31,Nebraska,126051,303,66372,340,63039,362,53661,701,356,108,53305,728,49871,775,3434,404,9378,646,3333,192,1238,199,1143,195,95,60,2095,204,59679,349,56229,408,38760,624,82,46,38678,622,35577,662,3101,432,17469,698,3450,170,783,141,759,139,24,26,2667,190
