GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - 16 to 64 years:,Margin of Error; Male: - 16 to 64 years:,Estimate; Male: - 16 to 64 years: - In labor force:,Margin of Error; Male: - 16 to 64 years: - In labor force:,Estimate; Male: - 16 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 16 to 64 years: - In labor force: - In Armed Forces,Estimate; Male: - 16 to 64 years: - In labor force: - Civilian:,Margin of Error; Male: - 16 to 64 years: - In labor force: - Civilian:,Estimate; Male: - 16 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 16 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 16 to 64 years: - Not in labor force,Margin of Error; Male: - 16 to 64 years: - Not in labor force,Estimate; Male: - 65 years and over:,Margin of Error; Male: - 65 years and over:,Estimate; Male: - 65 years and over: - In labor force:,Margin of Error; Male: - 65 years and over: - In labor force:,Estimate; Male: - 65 years and over: - In labor force: - Employed,Margin of Error; Male: - 65 years and over: - In labor force: - Employed,Estimate; Male: - 65 years and over: - In labor force: - Unemployed,Margin of Error; Male: - 65 years and over: - In labor force: - Unemployed,Estimate; Male: - 65 years and over: - Not in labor force,Margin of Error; Male: - 65 years and over: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - 16 to 64 years:,Margin of Error; Female: - 16 to 64 years:,Estimate; Female: - 16 to 64 years: - In labor force:,Margin of Error; Female: - 16 to 64 years: - In labor force:,Estimate; Female: - 16 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 16 to 64 years: - In labor force: - In Armed Forces,Estimate; Female: - 16 to 64 years: - In labor force: - Civilian:,Margin of Error; Female: - 16 to 64 years: - In labor force: - Civilian:,Estimate; Female: - 16 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 16 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 16 to 64 years: - Not in labor force,Margin of Error; Female: - 16 to 64 years: - Not in labor force,Estimate; Female: - 65 years and over:,Margin of Error; Female: - 65 years and over:,Estimate; Female: - 65 years and over: - In labor force:,Margin of Error; Female: - 65 years and over: - In labor force:,Estimate; Female: - 65 years and over: - In labor force: - Employed,Margin of Error; Female: - 65 years and over: - In labor force: - Employed,Estimate; Female: - 65 years and over: - In labor force: - Unemployed,Margin of Error; Female: - 65 years and over: - In labor force: - Unemployed,Estimate; Female: - 65 years and over: - Not in labor force,Margin of Error; Female: - 65 years and over: - Not in labor force
0400000US01,01,Alabama,2710688,2341,1316836,1636,1050578,1602,799928,3830,8701,599,791227,3865,745167,3767,46060,1680,250650,3926,266258,325,53014,1188,51262,1151,1752,263,213244,1222,1393852,1447,1055866,1420,661974,3806,848,183,661126,3782,620964,4062,40162,1452,393892,3913,337986,326,38834,997,37611,957,1223,227,299152,1093
0400000US02,02,Alaska,390516,1050,208873,688,179612,675,151221,1050,11706,574,139515,1093,131262,1096,8253,664,28391,888,29261,105,8571,481,8014,475,557,176,20690,510,181643,641,154010,648,113334,1156,1268,227,112066,1178,106284,1142,5782,479,40676,1210,27633,168,6042,505,5822,496,220,98,21591,456
0400000US04,04,Arizona,4261692,6334,2100244,3544,1637825,3367,1264661,4312,10877,766,1253784,4513,1171183,4506,82601,2411,373164,4095,462419,679,79372,1481,75685,1419,3687,393,383047,1668,2161448,3759,1625832,3443,1086155,4815,1958,320,1084197,4858,1016978,4847,67219,1902,539677,4288,535616,748,64172,1544,61317,1521,2855,346,471444,1661
0400000US05,05,Arkansas,1859731,2365,906771,1513,720205,1511,542667,2473,3054,372,539613,2459,508879,2527,30734,1169,177538,2391,186566,314,36628,1154,35468,1126,1160,194,149938,1203,952960,1373,721877,1381,467369,2433,454,154,466915,2432,442991,2575,23924,1205,254508,2886,231083,213,28580,917,27957,923,623,154,202503,885
0400000US06,06,California,19069798,23130,9471891,12804,7825696,12092,6187832,14710,81317,2081,6106515,14577,5662205,13603,444310,5020,1637864,9395,1646195,2331,385629,3553,365711,3551,19918,973,1260566,3899,9597907,12550,7571110,11334,5087570,13042,10632,1187,5076938,12824,4706662,12290,370276,4150,2483540,10380,2026797,2967,295873,2848,282788,2865,13085,723,1730924,4053
0400000US08,08,Colorado,3693060,4258,1844844,2349,1548758,2433,1284849,3483,22869,892,1261980,3543,1196987,3771,64993,1600,263909,3241,296086,565,75015,1254,72120,1216,2895,333,221071,1306,1848216,2624,1496355,2578,1098204,3620,3430,424,1094774,3573,1042669,3849,52105,1502,398151,3976,351861,530,57251,1319,55408,1309,1843,281,294610,1455
0400000US09,09,Connecticut,2299197,3824,1107464,2340,886104,2284,730747,2979,6315,490,724432,2922,676282,2975,48150,1679,155357,2453,221360,424,59764,1074,57023,964,2741,374,161596,1121,1191733,2108,902313,2057,680383,3195,685,202,679698,3204,640216,3282,39482,1297,221930,2961,289420,515,49244,1114,47176,1059,2068,257,240176,1252
0400000US10,10,Delaware,543005,1427,261786,920,202487,919,160384,1292,1904,268,158480,1316,148569,1423,9911,650,42103,1141,59299,172,12876,525,12338,503,538,134,46423,552,281219,710,208556,694,149887,1491,323,129,149564,1469,141200,1570,8364,725,58669,1403,72663,148,10015,502,9628,495,387,133,62648,518
0400000US11,11,District of Columbia,244115,1467,121969,806,108443,753,95241,1059,2193,223,93048,1033,90229,1025,2819,408,13202,821,13526,171,5295,340,5123,349,172,85,8231,366,122146,832,106853,775,89409,903,377,138,89032,940,86373,956,2659,334,17444,809,15293,193,4533,320,4440,322,93,56,10760,351
