GEO_ID,NAME,B20005_001E,B20005_001M,B20005_002E,B20005_002M,B20005_003E,B20005_003M,B20005_004E,B20005_004M,B20005_005E,B20005_005M,B20005_006E,B20005_006M,B20005_007E,B20005_007M,B20005_008E,B20005_008M,B20005_009E,B20005_009M,B20005_010E,B20005_010M,B20005_011E,B20005_011M,B20005_012E,B20005_012M,B20005_013E,B20005_013M,B20005_014E,B20005_014M,B20005_015E,B20005_015M,B20005_016E,B20005_016M,B20005_017E,B20005_017M,B20005_018E,B20005_018M,B20005_019E,B20005_019M,B20005_020E,B20005_020M,B20005_021E,B20005_021M,B20005_022E,B20005_022M,B20005_023E,B20005_023M,B20005_024E,B20005_024M,B20005_025E,B20005_025M,B20005_026E,B20005_026M,B20005_027E,B20005_027M,B20005_028E,B20005_028M,B20005_029E,B20005_029M,B20005_030E,B20005_030M,B20005_031E,B20005_031M,B20005_032E,B20005_032M,B20005_033E,B20005_033M,B20005_034E,B20005_034M,B20005_035E,B20005_035M,B20005_036E,B20005_036M,B20005_037E,B20005_037M,B20005_038E,B20005_038M,B20005_039E,B20005_039M,B20005_040E,B20005_040M,B20005_041E,B20005_041M,B20005_042E,B20005_042M,B20005_043E,B20005_043M,B20005_044E,B20005_044M,B20005_045E,B20005_045M,B20005_046E,B20005_046M,B20005_047E,B20005_047M,B20005_048E,B20005_048M,B20005_049E,B20005_049M,B20005_050E,B20005_050M,B20005_051E,B20005_051M,B20005_052E,B20005_052M,B20005_053E,B20005_053M,B20005_054E,B20005_054M,B20005_055E,B20005_055M,B20005_056E,B20005_056M,B20005_057E,B20005_057M,B20005_058E,B20005_058M,B20005_059E,B20005_059M,B20005_060E,B20005_060M,B20005_061E,B20005_061M,B20005_062E,B20005_062M,B20005_063E,B20005_063M,B20005_064E,B20005_064M,B20005_065E,B20005_065M,B20005_066E,B20005_066M,B20005_067E,B20005_067M,B20005_068E,B20005_068M,B20005_069E,B20005_069M,B20005_070E,B20005_070M,B20005_071E,B20005_071M,B20005_072E,B20005_072M,B20005_073E,B20005_073M,B20005_074E,B20005_074M,B20005_075E,B20005_075M,B20005_076E,B20005_076M,B20005_077E,B20005_077M,B20005_078E,B20005_078M,B20005_079E,B20005_079M,B20005_080E,B20005_080M,B20005_081E,B20005_081M,B20005_082E,B20005_082M,B20005_083E,B20005_083M,B20005_084E,B20005_084M,B20005_085E,B20005_085M,B20005_086E,B20005_086M,B20005_087E,B20005_087M,B20005_088E,B20005_088M,B20005_089E,B20005_089M,B20005_090E,B20005_090M,B20005_091E,B20005_091M,B20005_092E,B20005_092M,B20005_093E,B20005_093M,B20005_094E,B20005_094M,B20005_095E,B20005_095M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Male,Margin of Error!!Total!!Male,"Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!No earnings","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!No earnings","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$1 to $2,499 or loss","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$1 to $2,499 or loss","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$2,500 to $4,999","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$2,500 to $4,999","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$5,000 to $7,499","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$5,000 to $7,499","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$7,500 to $9,999","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$7,500 to $9,999","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$10,000 to $12,499","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$10,000 to $12,499","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$12,500 to $14,999","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$12,500 to $14,999","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$15,000 to $17,499","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$15,000 to $17,499","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$17,500 to $19,999","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$17,500 to $19,999","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$20,000 to $22,499","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$20,000 to $22,499","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$22,500 to $24,999","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$22,500 to $24,999","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$25,000 to $29,999","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$25,000 to $29,999","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$30,000 to $34,999","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$30,000 to $34,999","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$35,000 to $39,999","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$35,000 to $39,999","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$40,000 to $44,999","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$40,000 to $44,999","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$45,000 to $49,999","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$45,000 to $49,999","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$50,000 to $54,999","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$50,000 to $54,999","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$55,000 to $64,999","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$55,000 to $64,999","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$65,000 to $74,999","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$65,000 to $74,999","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$75,000 to $99,999","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$75,000 to $99,999","Estimate!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$100,000 or more","Margin of Error!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$100,000 or more",Estimate!!Total!!Male!!Other,Margin of Error!!Total!!Male!!Other,Estimate!!Total!!Male!!Other!!No earnings,Margin of Error!!Total!!Male!!Other!!No earnings,Estimate!!Total!!Male!!Other!!With earnings,Margin of Error!!Total!!Male!!Other!!With earnings,"Estimate!!Total!!Male!!Other!!With earnings!!$1 to $2,499 or loss","Margin of Error!!Total!!Male!!Other!!With earnings!!$1 to $2,499 or loss","Estimate!!Total!!Male!!Other!!With earnings!!$2,500 to $4,999","Margin of Error!!Total!!Male!!Other!!With earnings!!$2,500 to $4,999","Estimate!!Total!!Male!!Other!!With earnings!!$5,000 to $7,499","Margin of Error!!Total!!Male!!Other!!With earnings!!$5,000 to $7,499","Estimate!!Total!!Male!!Other!!With earnings!!$7,500 to $9,999","Margin of Error!!Total!!Male!!Other!!With earnings!!$7,500 to $9,999","Estimate!!Total!!Male!!Other!!With earnings!!$10,000 to $12,499","Margin of Error!!Total!!Male!!Other!!With earnings!!$10,000 to $12,499","Estimate!!Total!!Male!!Other!!With earnings!!$12,500 to $14,999","Margin of Error!!Total!!Male!!Other!!With earnings!!$12,500 to $14,999","Estimate!!Total!!Male!!Other!!With earnings!!$15,000 to $17,499","Margin of Error!!Total!!Male!!Other!!With earnings!!$15,000 to $17,499","Estimate!!Total!!Male!!Other!!With earnings!!$17,500 to $19,999","Margin of Error!!Total!!Male!!Other!!With earnings!!$17,500 to $19,999","Estimate!!Total!!Male!!Other!!With earnings!!$20,000 to $22,499","Margin of Error!!Total!!Male!!Other!!With earnings!!$20,000 to $22,499","Estimate!!Total!!Male!!Other!!With earnings!!$22,500 to $24,999","Margin of Error!!Total!!Male!!Other!!With earnings!!$22,500 to $24,999","Estimate!!Total!!Male!!Other!!With earnings!!$25,000 to $29,999","Margin of Error!!Total!!Male!!Other!!With earnings!!$25,000 to $29,999","Estimate!!Total!!Male!!Other!!With earnings!!$30,000 to $34,999","Margin of Error!!Total!!Male!!Other!!With earnings!!$30,000 to $34,999","Estimate!!Total!!Male!!Other!!With earnings!!$35,000 to $39,999","Margin of Error!!Total!!Male!!Other!!With earnings!!$35,000 to $39,999","Estimate!!Total!!Male!!Other!!With earnings!!$40,000 to $44,999","Margin of Error!!Total!!Male!!Other!!With earnings!!$40,000 to $44,999","Estimate!!Total!!Male!!Other!!With earnings!!$45,000 to $49,999","Margin of Error!!Total!!Male!!Other!!With earnings!!$45,000 to $49,999","Estimate!!Total!!Male!!Other!!With earnings!!$50,000 to $54,999","Margin of Error!!Total!!Male!!Other!!With earnings!!$50,000 to $54,999","Estimate!!Total!!Male!!Other!!With earnings!!$55,000 to $64,999","Margin of Error!!Total!!Male!!Other!!With earnings!!$55,000 to $64,999","Estimate!!Total!!Male!!Other!!With earnings!!$65,000 to $74,999","Margin of Error!!Total!!Male!!Other!!With earnings!!$65,000 to $74,999","Estimate!!Total!!Male!!Other!!With earnings!!$75,000 to $99,999","Margin of Error!!Total!!Male!!Other!!With earnings!!$75,000 to $99,999","Estimate!!Total!!Male!!Other!!With earnings!!$100,000 or more","Margin of Error!!Total!!Male!!Other!!With earnings!!$100,000 or more",Estimate!!Total!!Female,Margin of Error!!Total!!Female,"Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!No earnings","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!No earnings","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$1 to $2,499 or loss","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$1 to $2,499 or loss","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$2,500 to $4,999","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$2,500 to $4,999","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$5,000 to $7,499","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$5,000 to $7,499","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$7,500 to $9,999","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$7,500 to $9,999","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$10,000 to $12,499","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$10,000 to $12,499","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$12,500 to $14,999","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$12,500 to $14,999","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$15,000 to $17,499","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$15,000 to $17,499","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$17,500 to $19,999","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$17,500 to $19,999","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$20,000 to $22,499","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$20,000 to $22,499","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$22,500 to $24,999","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$22,500 to $24,999","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$25,000 to $29,999","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$25,000 to $29,999","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$30,000 to $34,999","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$30,000 to $34,999","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$35,000 to $39,999","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$35,000 to $39,999","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$40,000 to $44,999","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$40,000 to $44,999","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$45,000 to $49,999","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$45,000 to $49,999","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$50,000 to $54,999","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$50,000 to $54,999","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$55,000 to $64,999","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$55,000 to $64,999","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$65,000 to $74,999","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$65,000 to $74,999","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$75,000 to $99,999","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$75,000 to $99,999","Estimate!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$100,000 or more","Margin of Error!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$100,000 or more",Estimate!!Total!!Female!!Other,Margin of Error!!Total!!Female!!Other,Estimate!!Total!!Female!!Other!!No earnings,Margin of Error!!Total!!Female!!Other!!No earnings,Estimate!!Total!!Female!!Other!!With earnings,Margin of Error!!Total!!Female!!Other!!With earnings,"Estimate!!Total!!Female!!Other!!With earnings!!$1 to $2,499 or loss","Margin of Error!!Total!!Female!!Other!!With earnings!!$1 to $2,499 or loss","Estimate!!Total!!Female!!Other!!With earnings!!$2,500 to $4,999","Margin of Error!!Total!!Female!!Other!!With earnings!!$2,500 to $4,999","Estimate!!Total!!Female!!Other!!With earnings!!$5,000 to $7,499","Margin of Error!!Total!!Female!!Other!!With earnings!!$5,000 to $7,499","Estimate!!Total!!Female!!Other!!With earnings!!$7,500 to $9,999","Margin of Error!!Total!!Female!!Other!!With earnings!!$7,500 to $9,999","Estimate!!Total!!Female!!Other!!With earnings!!$10,000 to $12,499","Margin of Error!!Total!!Female!!Other!!With earnings!!$10,000 to $12,499","Estimate!!Total!!Female!!Other!!With earnings!!$12,500 to $14,999","Margin of Error!!Total!!Female!!Other!!With earnings!!$12,500 to $14,999","Estimate!!Total!!Female!!Other!!With earnings!!$15,000 to $17,499","Margin of Error!!Total!!Female!!Other!!With earnings!!$15,000 to $17,499","Estimate!!Total!!Female!!Other!!With earnings!!$17,500 to $19,999","Margin of Error!!Total!!Female!!Other!!With earnings!!$17,500 to $19,999","Estimate!!Total!!Female!!Other!!With earnings!!$20,000 to $22,499","Margin of Error!!Total!!Female!!Other!!With earnings!!$20,000 to $22,499","Estimate!!Total!!Female!!Other!!With earnings!!$22,500 to $24,999","Margin of Error!!Total!!Female!!Other!!With earnings!!$22,500 to $24,999","Estimate!!Total!!Female!!Other!!With earnings!!$25,000 to $29,999","Margin of Error!!Total!!Female!!Other!!With earnings!!$25,000 to $29,999","Estimate!!Total!!Female!!Other!!With earnings!!$30,000 to $34,999","Margin of Error!!Total!!Female!!Other!!With earnings!!$30,000 to $34,999","Estimate!!Total!!Female!!Other!!With earnings!!$35,000 to $39,999","Margin of Error!!Total!!Female!!Other!!With earnings!!$35,000 to $39,999","Estimate!!Total!!Female!!Other!!With earnings!!$40,000 to $44,999","Margin of Error!!Total!!Female!!Other!!With earnings!!$40,000 to $44,999","Estimate!!Total!!Female!!Other!!With earnings!!$45,000 to $49,999","Margin of Error!!Total!!Female!!Other!!With earnings!!$45,000 to $49,999","Estimate!!Total!!Female!!Other!!With earnings!!$50,000 to $54,999","Margin of Error!!Total!!Female!!Other!!With earnings!!$50,000 to $54,999","Estimate!!Total!!Female!!Other!!With earnings!!$55,000 to $64,999","Margin of Error!!Total!!Female!!Other!!With earnings!!$55,000 to $64,999","Estimate!!Total!!Female!!Other!!With earnings!!$65,000 to $74,999","Margin of Error!!Total!!Female!!Other!!With earnings!!$65,000 to $74,999","Estimate!!Total!!Female!!Other!!With earnings!!$75,000 to $99,999","Margin of Error!!Total!!Female!!Other!!With earnings!!$75,000 to $99,999","Estimate!!Total!!Female!!Other!!With earnings!!$100,000 or more","Margin of Error!!Total!!Female!!Other!!With earnings!!$100,000 or more"
5001600US2701,"Congressional District 1 (116th Congress), Minnesota",534255,519,265361,496,140463,1183,28,25,140435,1182,551,86,278,70,1031,169,724,129,1558,241,1289,262,2134,212,1888,247,4003,355,2780,353,8374,621,11317,563,10474,533,13689,523,9652,515,11697,497,15412,547,10370,455,15241,516,17973,551,124898,1255,60013,1125,64885,1233,9859,500,8075,490,7764,470,4500,382,4991,419,3499,329,3381,333,1930,221,2981,294,1272,221,3127,313,2895,272,1602,227,1638,214,962,135,1386,199,1573,178,967,148,1136,158,1347,149,268894,477,100030,1224,9,5,100021,1223,235,59,175,60,1140,202,618,160,1365,207,1558,223,2210,291,2154,272,4872,410,3698,343,9177,497,11015,586,9959,444,9671,541,6498,396,7000,404,9622,555,6044,331,7143,432,5867,350,168864,1307,83006,1001,85858,1081,12441,590,9641,486,9444,541,5771,355,7262,535,5493,481,5482,433,3243,302,4180,367,1958,253,4419,393,3506,349,2233,260,2213,253,1448,220,1413,215,2185,271,1495,193,1301,201,730,128
5001600US2702,"Congressional District 2 (116th Congress), Minnesota",543453,785,266266,605,154541,1538,3,4,154538,1538,168,55,134,61,641,160,473,144,1302,262,951,201,1384,228,1132,207,2747,333,1802,292,6264,538,8122,536,7905,563,11157,611,8746,581,10559,695,16822,769,13594,681,24072,851,36563,1063,111725,1664,50911,1225,60814,1230,9902,545,6726,474,6589,534,3527,419,4128,411,3226,367,2591,294,2052,364,2821,341,1107,236,2411,307,2806,322,1494,269,2094,273,872,146,1560,215,1686,218,986,169,1886,284,2350,282,277187,601,115726,1365,0,20,115726,1365,211,102,126,59,411,130,644,186,923,167,1227,224,1841,289,1710,304,3178,445,2602,308,7813,493,8935,601,9331,657,10544,560,7663,473,8551,609,12488,676,9999,626,14555,675,12974,641,161461,1511,75782,1254,85679,1673,12425,682,9531,536,8873,611,5193,411,5483,406,4613,426,4648,453,3201,381,4247,408,2240,262,5056,439,4146,415,2848,336,2330,262,1727,221,1536,219,2378,291,1566,198,2614,341,1024,170
5001600US2703,"Congressional District 3 (116th Congress), Minnesota",561078,1292,271079,1672,159629,1813,25,28,159604,1815,133,63,196,91,533,143,362,129,900,201,844,234,1256,274,1229,231,2548,342,1885,295,6387,610,7490,598,8360,637,9053,542,7620,559,10094,681,15193,857,11465,672,21936,932,52120,1408,111450,1877,54131,1449,57319,1590,9218,637,5703,410,4830,422,3045,361,3874,531,2736,298,3022,364,1694,269,2606,340,1059,209,3292,460,2150,265,1715,281,1926,265,999,194,1210,183,1531,235,1053,201,1987,278,3669,467,289999,1524,118766,1762,13,22,118753,1764,101,60,122,83,361,96,330,117,773,178,1167,270,1512,227,1188,211,2555,353,1962,313,6540,542,7924,579,8456,622,10518,733,7411,534,8872,653,11414,684,9584,599,16346,811,21617,833,171233,1822,88690,1415,82543,1842,10654,615,7776,541,7030,494,4826,451,5637,411,4606,434,4339,477,3008,340,4627,404,2085,263,4788,462,4075,391,2685,323,3066,340,1639,230,2134,303,2905,332,2134,290,2501,298,2028,314
5001600US2704,"Congressional District 4 (116th Congress), Minnesota",557290,701,268789,601,137014,1434,11,17,137003,1437,198,65,136,48,646,164,399,122,1366,235,1444,250,2236,340,1675,270,3529,373,2524,367,7707,591,9995,747,8298,638,9551,588,6810,468,9051,576,13602,776,10253,616,17860,725,29723,897,131775,1354,62761,1034,69014,1392,11437,598,7798,692,7498,606,4248,471,5298,402,3775,394,3359,320,2262,335,3451,364,1536,280,3501,450,2801,364,1779,275,1742,262,1056,198,1145,188,1741,247,1009,224,1627,255,1951,223,288501,684,109872,1584,18,20,109854,1585,62,39,122,80,796,204,480,140,1104,221,1053,224,1756,249,1575,264,3425,428,2649,348,7789,552,9595,637,8814,475,8665,535,7124,480,7365,579,11258,568,8696,472,13235,610,14291,683,178629,1581,88121,1397,90508,1562,14508,710,9585,552,8915,631,5660,448,6506,561,5399,488,5331,551,3178,327,4875,465,2197,284,4822,414,3840,395,2757,364,2477,289,1421,193,1664,248,2252,256,1613,224,2033,240,1475,224
5001600US2705,"Congressional District 5 (116th Congress), Minnesota",573349,1269,284799,1582,149711,1851,0,20,149711,1851,55,42,114,68,759,185,456,123,1256,236,1643,303,1859,278,2252,366,4420,494,2776,360,9558,699,11890,667,10482,602,11550,648,8121,548,10611,682,14792,778,11146,644,18304,836,27667,965,135088,1935,57944,1377,77144,1540,10572,625,8402,613,7903,526,4733,509,5359,508,4451,372,4489,430,2703,304,3978,410,2106,322,4721,465,3278,330,2340,326,1998,273,1043,192,1590,257,1883,272,1389,223,1720,233,2486,340,288550,1452,118363,1655,4,7,118359,1655,103,71,172,82,594,128,638,175,1238,185,1300,196,1980,272,1857,304,4206,479,3488,349,9352,650,9189,580,8683,548,9602,630,7468,508,8631,601,12800,720,8659,519,13916,649,14483,579,170187,1809,77161,1235,93026,1390,12972,624,9913,623,9385,637,5915,464,7399,504,5284,398,5716,495,3559,376,4645,437,2500,332,5830,399,3796,369,2624,349,2411,226,1570,229,1977,276,2407,272,1752,229,1871,214,1500,198
5001600US2706,"Congressional District 6 (116th Congress), Minnesota",543903,928,273731,877,155149,1638,20,19,155129,1636,315,107,111,57,718,174,443,131,901,191,919,208,1564,259,1408,252,3576,383,1609,269,7439,639,8786,591,8887,634,12620,749,9073,608,12114,690,18461,833,14993,756,23714,940,27478,834,118582,1725,54437,1196,64145,1687,10006,629,7355,572,6788,570,4590,516,4642,452,3294,353,3055,360,1772,298,2804,341,1208,249,2656,294,2130,285,1865,289,1843,347,1189,225,1788,240,2089,288,1286,194,1949,296,1836,276,270172,918,111584,1506,0,20,111584,1506,188,70,25,19,459,132,461,158,1278,247,1163,212,1842,331,1740,303,4387,467,2948,294,8475,697,11076,713,9064,632,10896,634,7902,584,8487,562,11731,658,8275,547,12214,677,8973,497,158588,1679,72030,1137,86558,1404,11825,621,8296,562,9483,582,5159,451,6868,545,5748,537,4993,470,3321,386,4713,413,2501,319,4727,416,4240,412,2418,269,2503,322,1488,284,1705,251,1794,263,1690,252,2033,301,1053,205
5001600US2707,"Congressional District 7 (116th Congress), Minnesota",525295,617,261934,541,136923,921,29,12,136894,922,641,75,315,64,791,137,706,127,1869,206,1656,212,2078,189,1891,204,4344,319,2532,260,8987,503,11515,492,11210,477,13456,606,8709,352,12505,400,15051,575,10732,430,13672,434,14234,480,125011,1024,63965,874,61046,1066,8615,366,7609,424,6637,401,4162,340,4373,301,3429,298,3026,231,1618,190,2829,300,1318,190,2736,265,2951,202,1790,162,1788,165,1177,163,1457,152,1817,193,962,114,1210,118,1542,175,263361,522,94163,1252,18,13,94145,1252,242,49,247,57,1007,178,614,102,1528,174,2252,222,2712,345,2379,231,5108,336,4148,368,10663,470,11534,485,10081,443,9615,437,6353,403,6011,363,7336,376,4072,240,5086,303,3157,222,169198,1206,89775,944,79423,1246,12360,543,9139,441,8626,460,5497,324,6424,354,6208,376,5421,334,3042,228,3982,322,1805,183,4451,304,3133,269,2002,214,1643,170,958,140,1188,130,1485,199,807,127,821,122,431,109
5001600US2708,"Congressional District 8 (116th Congress), Minnesota",540385,365,272734,353,119767,1217,18,16,119749,1217,520,123,219,67,845,133,669,131,1541,214,1408,240,1985,243,2104,270,3807,320,2329,250,7119,428,8745,402,8263,460,9845,497,7156,450,10304,514,13962,547,10395,504,14924,519,13609,572,152967,1269,83825,905,69142,1198,10809,430,8070,428,7009,434,4565,333,5080,376,3587,315,3717,302,1874,191,3274,283,1433,217,3104,290,2643,215,1838,204,2222,210,1300,147,1854,212,2107,191,1409,169,1479,149,1768,226,267651,305,86894,1066,8,9,86886,1066,138,45,175,43,637,131,602,111,1303,205,1728,272,2405,231,2408,257,4342,330,3662,296,9051,550,9489,510,8259,440,8082,432,5393,348,6185,423,7664,412,4822,331,5916,299,4625,322,180757,1126,98854,986,81903,1018,12393,541,9059,465,8908,441,6145,407,7300,423,5493,340,5578,340,3043,201,3857,291,1847,221,4172,295,3243,298,2179,228,1806,189,1006,155,1271,144,1863,236,1341,178,951,129,448,81
5001600US2801,"Congressional District 1 (116th Congress), Mississippi",598910,867,285738,582,137318,1760,3,4,137315,1761,249,82,342,140,1105,259,852,211,2166,385,2352,407,3771,438,3070,396,6032,579,3115,391,12018,765,14209,959,10373,695,11620,784,8546,772,11004,827,12399,877,8189,719,12486,640,13417,819,148420,1790,96964,1788,51456,1544,8754,805,6471,619,5848,593,4022,502,3951,393,2765,394,2613,403,1555,265,2846,420,1137,237,2568,384,1609,336,1445,335,957,188,631,168,953,252,689,159,562,201,912,192,1168,220,313172,661,107071,1985,16,25,107055,1987,78,62,378,154,895,225,1206,307,3000,375,3058,371,4967,566,4807,496,6969,630,5048,499,12198,896,13706,887,10289,676,8982,700,5406,523,5971,485,6703,650,4491,516,5146,505,3757,396,206101,2014,137875,2046,68226,1877,12248,842,7675,630,7517,569,5929,542,6808,635,5513,600,4370,530,2236,376,3158,384,1258,245,2858,382,1843,310,1541,274,1014,189,944,216,921,210,640,175,606,200,601,168,546,171
