"GEO_ID","NAME","B23006_001E","B23006_001M","B23006_002E","B23006_002M","B23006_003E","B23006_003M","B23006_004E","B23006_004M","B23006_005E","B23006_005M","B23006_006E","B23006_006M","B23006_007E","B23006_007M","B23006_008E","B23006_008M","B23006_009E","B23006_009M","B23006_010E","B23006_010M","B23006_011E","B23006_011M","B23006_012E","B23006_012M","B23006_013E","B23006_013M","B23006_014E","B23006_014M","B23006_015E","B23006_015M","B23006_016E","B23006_016M","B23006_017E","B23006_017M","B23006_018E","B23006_018M","B23006_019E","B23006_019M","B23006_020E","B23006_020M","B23006_021E","B23006_021M","B23006_022E","B23006_022M","B23006_023E","B23006_023M","B23006_024E","B23006_024M","B23006_025E","B23006_025M","B23006_026E","B23006_026M","B23006_027E","B23006_027M","B23006_028E","B23006_028M","B23006_029E","B23006_029M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate","Margin of Error!!Total!!Less than high school graduate","Estimate!!Total!!Less than high school graduate!!In labor force","Margin of Error!!Total!!Less than high school graduate!!In labor force","Estimate!!Total!!Less than high school graduate!!In labor force!!In Armed Forces","Margin of Error!!Total!!Less than high school graduate!!In labor force!!In Armed Forces","Estimate!!Total!!Less than high school graduate!!In labor force!!Civilian","Margin of Error!!Total!!Less than high school graduate!!In labor force!!Civilian","Estimate!!Total!!Less than high school graduate!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Less than high school graduate!!In labor force!!Civilian!!Employed","Estimate!!Total!!Less than high school graduate!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Less than high school graduate!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Less than high school graduate!!Not in labor force","Margin of Error!!Total!!Less than high school graduate!!Not in labor force","Estimate!!Total!!High school graduate (includes equivalency)","Margin of Error!!Total!!High school graduate (includes equivalency)","Estimate!!Total!!High school graduate (includes equivalency)!!In labor force","Margin of Error!!Total!!High school graduate (includes equivalency)!!In labor force","Estimate!!Total!!High school graduate (includes equivalency)!!In labor force!!In Armed Forces","Margin of Error!!Total!!High school graduate (includes equivalency)!!In labor force!!In Armed Forces","Estimate!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian","Margin of Error!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian","Estimate!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian!!Employed","Estimate!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!High school graduate (includes equivalency)!!Not in labor force","Margin of Error!!Total!!High school graduate (includes equivalency)!!Not in labor force","Estimate!!Total!!Some college or associate's degree","Margin of Error!!Total!!Some college or associate's degree","Estimate!!Total!!Some college or associate's degree!!In labor force","Margin of Error!!Total!!Some college or associate's degree!!In labor force","Estimate!!Total!!Some college or associate's degree!!In labor force!!In Armed Forces","Margin of Error!!Total!!Some college or associate's degree!!In labor force!!In Armed Forces","Estimate!!Total!!Some college or associate's degree!!In labor force!!Civilian","Margin of Error!!Total!!Some college or associate's degree!!In labor force!!Civilian","Estimate!!Total!!Some college or associate's degree!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Some college or associate's degree!!In labor force!!Civilian!!Employed","Estimate!!Total!!Some college or associate's degree!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Some college or associate's degree!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Some college or associate's degree!!Not in labor force","Margin of Error!!Total!!Some college or associate's degree!!Not in labor force","Estimate!!Total!!Bachelor's degree or higher","Margin of Error!!Total!!Bachelor's degree or higher","Estimate!!Total!!Bachelor's degree or higher!!In labor force","Margin of Error!!Total!!Bachelor's degree or higher!!In labor force","Estimate!!Total!!Bachelor's degree or higher!!In labor force!!In Armed Forces","Margin of Error!!Total!!Bachelor's degree or higher!!In labor force!!In Armed Forces","Estimate!!Total!!Bachelor's degree or higher!!In labor force!!Civilian","Margin of Error!!Total!!Bachelor's degree or higher!!In labor force!!Civilian","Estimate!!Total!!Bachelor's degree or higher!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Bachelor's degree or higher!!In labor force!!Civilian!!Employed","Estimate!!Total!!Bachelor's degree or higher!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Bachelor's degree or higher!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Bachelor's degree or higher!!Not in labor force","Margin of Error!!Total!!Bachelor's degree or higher!!Not in labor force"
"5001600US2701","Congressional District 1 (116th Congress), Minnesota","335286","555","23233","918","15640","736","0","20","15640","736","14363","679","1277","295","7593","491","88933","1331","71899","1265","23","24","71876","1270","69066","1218","2810","381","17034","689","121392","1516","105314","1536","55","31","105259","1542","102535","1509","2724","443","16078","556","101728","1561","91368","1487","27","25","91341","1481","90211","1453","1130","168","10360","548"
"5001600US2702","Congressional District 2 (116th Congress), Minnesota","372751","561","16858","940","12272","766","0","20","12272","766","11463","746","809","209","4586","446","75220","1765","61752","1692","33","32","61719","1695","59289","1587","2430","335","13468","624","127561","1645","111228","1587","204","127","111024","1575","108082","1573","2942","413","16333","799","153112","1927","138763","1876","147","61","138616","1878","136078","1898","2538","309","14349","701"
"5001600US2703","Congressional District 3 (116th Congress), Minnesota","390007","1319","15932","931","10844","891","0","20","10844","891","10144","896","700","183","5088","491","58050","1567","46959","1395","0","20","46959","1395","44948","1396","2011","334","11091","775","113820","2076","98378","2002","27","27","98351","2003","95538","1991","2813","380","15442","856","202205","2494","179403","2500","65","48","179338","2499","175901","2480","3437","363","22802","876"
"5001600US2704","Congressional District 4 (116th Congress), Minnesota","373122","510","31042","1127","17895","871","0","20","17895","871","16263","794","1632","346","13147","752","67871","1533","51570","1393","46","43","51524","1388","49007","1412","2517","321","16301","803","106120","1586","88364","1427","175","121","88189","1436","84721","1415","3468","386","17756","812","168089","1952","150461","2146","144","98","150317","2150","147036","2034","3281","415","17628","726"
"5001600US2705","Congressional District 5 (116th Congress), Minnesota","399036","1359","34855","1185","22685","1018","0","20","22685","1018","20336","1039","2349","364","12170","640","66331","1799","51041","1659","0","20","51041","1659","48031","1581","3010","397","15290","781","107711","1758","91232","1580","88","62","91144","1588","86328","1497","4816","539","16479","730","190139","2303","174309","2233","65","64","174244","2233","170232","2242","4012","404","15830","765"
"5001600US2706","Congressional District 6 (116th Congress), Minnesota","371781","1018","16455","834","11861","662","0","20","11861","662","11015","650","846","216","4594","457","90494","1755","72837","1692","0","20","72837","1692","69807","1670","3030","375","17657","843","145443","1906","126565","2000","80","50","126485","2004","123173","2021","3312","329","18878","801","119389","2159","108186","2056","175","91","108011","2058","106174","2040","1837","279","11203","681"
"5001600US2707","Congressional District 7 (116th Congress), Minnesota","322803","581","21561","752","14353","514","0","20","14353","514","12965","511","1388","212","7208","486","93379","1336","75279","1211","1","3","75278","1211","72450","1206","2828","272","18100","612","132065","1279","113413","1332","61","30","113352","1326","110760","1337","2592","217","18652","595","75798","1414","67653","1343","79","50","67574","1343","66539","1346","1035","132","8145","437"
"5001600US2708","Congressional District 8 (116th Congress), Minnesota","336864","400","18611","686","11276","512","0","20","11276","512","10142","484","1134","201","7335","452","99323","1550","71383","1291","10","6","71373","1291","67201","1264","4172","373","27940","859","138832","1633","111007","1622","284","103","110723","1627","106607","1613","4116","321","27825","749","80098","1216","69220","1144","209","79","69011","1141","67757","1112","1254","171","10878","460"
"5001600US2801","Congressional District 1 (116th Congress), Mississippi","386118","652","55202","2148","28562","1506","0","30","28562","1506","25093","1292","3469","542","26640","1344","116590","2327","83184","1988","100","92","83084","1988","77142","1938","5942","550","33406","1205","130469","2032","103194","1947","220","103","102974","1965","97302","1986","5672","568","27275","1041","83857","1835","71855","1786","617","164","71238","1787","69702","1790","1536","286","12002","769"
