"GEO_ID","NAME","B23006_001E","B23006_001M","B23006_002E","B23006_002M","B23006_003E","B23006_003M","B23006_004E","B23006_004M","B23006_005E","B23006_005M","B23006_006E","B23006_006M","B23006_007E","B23006_007M","B23006_008E","B23006_008M","B23006_009E","B23006_009M","B23006_010E","B23006_010M","B23006_011E","B23006_011M","B23006_012E","B23006_012M","B23006_013E","B23006_013M","B23006_014E","B23006_014M","B23006_015E","B23006_015M","B23006_016E","B23006_016M","B23006_017E","B23006_017M","B23006_018E","B23006_018M","B23006_019E","B23006_019M","B23006_020E","B23006_020M","B23006_021E","B23006_021M","B23006_022E","B23006_022M","B23006_023E","B23006_023M","B23006_024E","B23006_024M","B23006_025E","B23006_025M","B23006_026E","B23006_026M","B23006_027E","B23006_027M","B23006_028E","B23006_028M","B23006_029E","B23006_029M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate","Margin of Error!!Total!!Less than high school graduate","Estimate!!Total!!Less than high school graduate!!In labor force","Margin of Error!!Total!!Less than high school graduate!!In labor force","Estimate!!Total!!Less than high school graduate!!In labor force!!In Armed Forces","Margin of Error!!Total!!Less than high school graduate!!In labor force!!In Armed Forces","Estimate!!Total!!Less than high school graduate!!In labor force!!Civilian","Margin of Error!!Total!!Less than high school graduate!!In labor force!!Civilian","Estimate!!Total!!Less than high school graduate!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Less than high school graduate!!In labor force!!Civilian!!Employed","Estimate!!Total!!Less than high school graduate!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Less than high school graduate!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Less than high school graduate!!Not in labor force","Margin of Error!!Total!!Less than high school graduate!!Not in labor force","Estimate!!Total!!High school graduate (includes equivalency)","Margin of Error!!Total!!High school graduate (includes equivalency)","Estimate!!Total!!High school graduate (includes equivalency)!!In labor force","Margin of Error!!Total!!High school graduate (includes equivalency)!!In labor force","Estimate!!Total!!High school graduate (includes equivalency)!!In labor force!!In Armed Forces","Margin of Error!!Total!!High school graduate (includes equivalency)!!In labor force!!In Armed Forces","Estimate!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian","Margin of Error!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian","Estimate!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian!!Employed","Estimate!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!High school graduate (includes equivalency)!!Not in labor force","Margin of Error!!Total!!High school graduate (includes equivalency)!!Not in labor force","Estimate!!Total!!Some college or associate's degree","Margin of Error!!Total!!Some college or associate's degree","Estimate!!Total!!Some college or associate's degree!!In labor force","Margin of Error!!Total!!Some college or associate's degree!!In labor force","Estimate!!Total!!Some college or associate's degree!!In labor force!!In Armed Forces","Margin of Error!!Total!!Some college or associate's degree!!In labor force!!In Armed Forces","Estimate!!Total!!Some college or associate's degree!!In labor force!!Civilian","Margin of Error!!Total!!Some college or associate's degree!!In labor force!!Civilian","Estimate!!Total!!Some college or associate's degree!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Some college or associate's degree!!In labor force!!Civilian!!Employed","Estimate!!Total!!Some college or associate's degree!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Some college or associate's degree!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Some college or associate's degree!!Not in labor force","Margin of Error!!Total!!Some college or associate's degree!!Not in labor force","Estimate!!Total!!Bachelor's degree or higher","Margin of Error!!Total!!Bachelor's degree or higher","Estimate!!Total!!Bachelor's degree or higher!!In labor force","Margin of Error!!Total!!Bachelor's degree or higher!!In labor force","Estimate!!Total!!Bachelor's degree or higher!!In labor force!!In Armed Forces","Margin of Error!!Total!!Bachelor's degree or higher!!In labor force!!In Armed Forces","Estimate!!Total!!Bachelor's degree or higher!!In labor force!!Civilian","Margin of Error!!Total!!Bachelor's degree or higher!!In labor force!!Civilian","Estimate!!Total!!Bachelor's degree or higher!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Bachelor's degree or higher!!In labor force!!Civilian!!Employed","Estimate!!Total!!Bachelor's degree or higher!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Bachelor's degree or higher!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Bachelor's degree or higher!!Not in labor force","Margin of Error!!Total!!Bachelor's degree or higher!!Not in labor force"
"0400000US27","Minnesota","2901650","801","178547","3186","116826","2504","0","20","116826","2504","106691","2368","10135","814","61721","1713","639601","5784","502720","5158","113","57","502607","5165","479799","4812","22808","1014","136881","2401","992944","4652","845501","4468","974","234","844527","4457","817744","4520","26783","1060","147443","2167","1090558","7268","979363","7022","911","198","978452","6994","959928","7000","18524","846","111195","1925"
"0400000US28","Mississippi","1517836","1304","213595","3974","101087","2536","26","19","101061","2535","86076","2296","14985","1009","112508","2755","452179","5347","301541","4278","629","180","300912","4291","275964","4272","24948","1396","150638","2688","512002","4405","392361","4448","2607","408","389754","4438","366454","4426","23300","1216","119641","2627","340060","4744","288742","4593","2391","418","286351","4561","278094","4457","8257","844","51318","1583"
"0400000US29","Missouri","3143146","1446","285139","4188","155876","2934","0","26","155876","2934","137949","2767","17927","942","129263","2424","897820","6904","643915","5849","881","254","643034","5868","607321","5885","35713","1381","253905","3576","998012","6054","791242","5833","4847","531","786395","5888","754746","5730","31649","1317","206770","2601","962175","8686","838744","8334","3563","444","835181","8330","817517","8203","17664","956","123431","2304"
"0400000US30","Montana","530444","807","31677","1329","18519","1082","7","10","18512","1082","16707","1030","1805","301","13158","713","149167","2288","110523","1902","224","109","110299","1910","105127","1934","5172","525","38644","1266","180347","2226","140940","1984","943","201","139997","1992","135081","2029","4916","508","39407","1224","169253","2814","146343","2642","593","162","145750","2617","142911","2626","2839","320","22910","948"
"0400000US31","Nebraska","956383","748","80487","1706","55910","1650","0","22","55910","1650","51909","1449","4001","459","24577","993","221743","2665","175483","2420","246","96","175237","2398","169041","2420","6196","500","46260","1338","334188","2337","284915","2263","1643","235","283272","2280","276421","2245","6851","517","49273","1282","319965","3170","288011","3154","2179","250","285832","3169","281533","3196","4299","363","31954","1040"
"0400000US32","Nevada","1563399","516","216395","3476","150069","2788","20","25","150049","2789","138466","2738","11583","836","66326","2080","440505","5269","329209","4523","322","111","328887","4519","304001","4473","24886","1139","111296","2532","532865","4857","418257","4992","2997","433","415260","5031","391530","4672","23730","1137","114608","2087","373634","4521","311745","4042","2441","314","309304","4024","297394","4086","11910","878","61889","1724"
"0400000US33","New Hampshire","724131","556","42647","1769","26279","1410","0","27","26279","1410","24660","1351","1619","277","16368","1017","191303","2485","148381","2285","214","110","148167","2276","141329","2349","6838","661","42922","1311","216805","2457","181584","2248","578","184","181006","2252","174874","2401","6132","542","35221","1290","273376","3337","239598","3246","380","153","239218","3241","234421","3235","4797","456","33778","1228"
"0400000US34","New Jersey","4752679","541","411976","5516","269587","3846","90","58","269497","3842","247011","3793","22486","975","142389","2952","1205658","10120","913643","8700","581","139","913062","8696","848162","8125","64900","2022","292015","3964","1158659","7464","950045","7182","2970","384","947075","7153","894759","7151","52316","1538","208614","3046","1976386","11052","1720334","10709","2034","322","1718300","10672","1662166","10601","56134","1489","256052","3040"
"0400000US35","New Mexico","1052765","1039","145807","3481","81916","2597","6","9","81910","2596","72171","2388","9739","958","63891","1699","282251","4192","188507","3903","490","192","188017","3885","174390","3604","13627","847","93744","1808","349994","4231","259439","3651","2899","390","256540","3702","241233","3624","15307","976","90555","2364","274713","3806","225595","3742","2521","330","223074","3715","216328","3743","6746","731","49118","1445"
