"GEO_ID","NAME","C23002B_001E","C23002B_001M","C23002B_002E","C23002B_002M","C23002B_003E","C23002B_003M","C23002B_004E","C23002B_004M","C23002B_005E","C23002B_005M","C23002B_006E","C23002B_006M","C23002B_007E","C23002B_007M","C23002B_008E","C23002B_008M","C23002B_009E","C23002B_009M","C23002B_010E","C23002B_010M","C23002B_011E","C23002B_011M","C23002B_012E","C23002B_012M","C23002B_013E","C23002B_013M","C23002B_014E","C23002B_014M","C23002B_015E","C23002B_015M","C23002B_016E","C23002B_016M","C23002B_017E","C23002B_017M","C23002B_018E","C23002B_018M","C23002B_019E","C23002B_019M","C23002B_020E","C23002B_020M","C23002B_021E","C23002B_021M","C23002B_022E","C23002B_022M","C23002B_023E","C23002B_023M","C23002B_024E","C23002B_024M","C23002B_025E","C23002B_025M","C23002B_026E","C23002B_026M","C23002B_027E","C23002B_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!16 to 64 years","Margin of Error!!Total!!Male!!16 to 64 years","Estimate!!Total!!Male!!16 to 64 years!!In labor force","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!In Armed Forces","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!In Armed Forces","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Employed","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Male!!16 to 64 years!!Not in labor force","Margin of Error!!Total!!Male!!16 to 64 years!!Not in labor force","Estimate!!Total!!Male!!65 years and over","Margin of Error!!Total!!Male!!65 years and over","Estimate!!Total!!Male!!65 years and over!!In labor force","Margin of Error!!Total!!Male!!65 years and over!!In labor force","Estimate!!Total!!Male!!65 years and over!!In labor force!!Employed","Margin of Error!!Total!!Male!!65 years and over!!In labor force!!Employed","Estimate!!Total!!Male!!65 years and over!!In labor force!!Unemployed","Margin of Error!!Total!!Male!!65 years and over!!In labor force!!Unemployed","Estimate!!Total!!Male!!65 years and over!!Not in labor force","Margin of Error!!Total!!Male!!65 years and over!!Not in labor force","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!16 to 64 years","Margin of Error!!Total!!Female!!16 to 64 years","Estimate!!Total!!Female!!16 to 64 years!!In labor force","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!In Armed Forces","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!In Armed Forces","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Employed","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Female!!16 to 64 years!!Not in labor force","Margin of Error!!Total!!Female!!16 to 64 years!!Not in labor force","Estimate!!Total!!Female!!65 years and over","Margin of Error!!Total!!Female!!65 years and over","Estimate!!Total!!Female!!65 years and over!!In labor force","Margin of Error!!Total!!Female!!65 years and over!!In labor force","Estimate!!Total!!Female!!65 years and over!!In labor force!!Employed","Margin of Error!!Total!!Female!!65 years and over!!In labor force!!Employed","Estimate!!Total!!Female!!65 years and over!!In labor force!!Unemployed","Margin of Error!!Total!!Female!!65 years and over!!In labor force!!Unemployed","Estimate!!Total!!Female!!65 years and over!!Not in labor force","Margin of Error!!Total!!Female!!65 years and over!!Not in labor force"
"5001600US2701","Congressional District 1 (116th Congress), Minnesota","14682","462","8427","353","8184","338","5637","348","0","20","5637","348","4725","386","912","263","2547","308","243","91","63","50","59","49","4","6","180","77","6255","270","5938","253","4072","296","0","20","4072","296","3496","308","576","216","1866","264","317","80","32","41","29","41","3","5","285","88"
"5001600US2702","Congressional District 2 (116th Congress), Minnesota","23222","508","11771","358","11180","363","9392","370","0","20","9392","370","8580","410","812","241","1788","339","591","117","325","112","315","108","10","16","266","98","11451","361","10663","369","8791","418","0","20","8791","418","8058","402","733","238","1872","299","788","71","103","62","88","57","15","27","685","79"
"5001600US2703","Congressional District 3 (116th Congress), Minnesota","36761","1362","17292","820","16378","809","13688","745","0","20","13688","745","12774","751","914","252","2690","441","914","152","353","111","300","114","53","64","561","128","19469","924","17819","857","13953","793","7","15","13946","793","13220","794","726","177","3866","489","1650","250","286","135","255","122","31","51","1364","231"
"5001600US2704","Congressional District 4 (116th Congress), Minnesota","49984","663","24749","505","23132","500","17600","639","18","27","17582","636","15615","652","1967","378","5532","494","1617","55","340","86","325","82","15","19","1277","97","25235","421","23101","413","17047","607","0","20","17047","607","15541","592","1506","326","6054","499","2134","69","353","97","353","97","0","20","1781","113"
"5001600US2705","Congressional District 5 (116th Congress), Minnesota","83887","1480","41979","939","38790","923","28498","917","32","52","28466","920","24711","935","3755","423","10292","644","3189","188","596","127","588","129","8","12","2593","236","41908","1041","37798","975","27718","969","0","20","27718","969","25068","972","2650","324","10080","672","4110","254","553","120","529","116","24","39","3557","255"
"5001600US2706","Congressional District 6 (116th Congress), Minnesota","14876","601","8128","374","7856","380","5682","334","0","20","5682","334","5153","355","529","174","2174","272","272","98","24","29","24","29","0","20","248","98","6748","445","6563","418","4879","377","0","20","4879","377","4281","398","598","146","1684","266","185","107","2","4","2","4","0","20","183","107"
"5001600US2707","Congressional District 7 (116th Congress), Minnesota","6216","311","3725","280","3466","244","2388","271","2","3","2386","271","2162","274","224","113","1078","199","259","120","89","68","79","66","10","11","170","119","2491","196","2361","195","1420","191","0","20","1420","191","1237","183","183","101","941","200","130","74","59","56","59","56","0","20","71","54"
"5001600US2708","Congressional District 8 (116th Congress), Minnesota","5688","263","4147","206","3968","203","1565","214","0","20","1565","214","1469","201","96","47","2403","266","179","75","39","30","38","31","1","2","140","69","1541","148","1487","165","890","150","0","20","890","150","845","141","45","44","597","137","54","44","0","20","0","20","0","20","54","44"
"5001600US2801","Congressional District 1 (116th Congress), Mississippi","161231","714","73628","436","64958","438","42708","1006","104","104","42604","999","38067","951","4537","622","22250","996","8670","155","1438","211","1355","209","83","58","7232","252","87603","512","75076","493","51335","926","11","11","51324","924","46134","1080","5190","569","23741","919","12527","132","1367","274","1335","268","32","35","11160","263"
"5001600US2802","Congressional District 2 (116th Congress), Mississippi","354074","1313","161249","949","140793","904","84067","1456","145","82","83922","1456","70726","1517","13196","882","56726","1453","20456","219","3277","362","3095","361","182","87","17179","373","192825","911","162638","841","104351","1437","17","17","104334","1435","90406","1432","13928","833","58287","1402","30187","215","3298","302","3131","303","167","56","26889","354"
"5001600US2803","Congressional District 3 (116th Congress), Mississippi","203572","1343","94153","790","82303","744","51756","1278","182","104","51574","1286","46059","1325","5515","620","30547","1196","11850","242","1832","268","1792","260","40","37","10018","335","109419","912","92318","839","59782","1368","54","48","59728","1359","53872","1408","5856","663","32536","1390","17101","221","1713","231","1589","227","124","95","15388","311"
"5001600US2804","Congressional District 4 (116th Congress), Mississippi","135892","817","63214","692","56153","721","36311","1015","858","227","35453","1034","30199","1079","5254","637","19842","1051","7061","178","858","220","840","218","18","23","6203","276","72678","511","62803","492","43482","952","267","110","43215","967","37542","1149","5673","816","19321","985","9875","191","1123","238","1053","222","70","63","8752","301"
"5001600US2901","Congressional District 1 (116th Congress), Missouri","278347","1427","119991","894","103667","859","74229","1252","58","61","74171","1251","63146","1272","11025","960","29438","1164","16324","196","2600","254","2515","251","85","71","13724","315","158356","927","131463","914","98150","1389","13","23","98137","1385","87916","1544","10221","783","33313","1134","26893","291","3573","328","3374","311","199","89","23320","418"
"5001600US2902","Congressional District 2 (116th Congress), Missouri","22930","1434","11302","803","10081","762","7297","643","0","26","7297","643","6846","642","451","188","2784","289","1221","209","276","106","276","106","0","26","945","187","11628","864","9567","804","7764","764","9","14","7755","763","7241","720","514","173","1803","300","2061","262","448","150","404","142","44","50","1613","237"
