"GEO_ID","NAME","C23002B_001E","C23002B_001M","C23002B_002E","C23002B_002M","C23002B_003E","C23002B_003M","C23002B_004E","C23002B_004M","C23002B_005E","C23002B_005M","C23002B_006E","C23002B_006M","C23002B_007E","C23002B_007M","C23002B_008E","C23002B_008M","C23002B_009E","C23002B_009M","C23002B_010E","C23002B_010M","C23002B_011E","C23002B_011M","C23002B_012E","C23002B_012M","C23002B_013E","C23002B_013M","C23002B_014E","C23002B_014M","C23002B_015E","C23002B_015M","C23002B_016E","C23002B_016M","C23002B_017E","C23002B_017M","C23002B_018E","C23002B_018M","C23002B_019E","C23002B_019M","C23002B_020E","C23002B_020M","C23002B_021E","C23002B_021M","C23002B_022E","C23002B_022M","C23002B_023E","C23002B_023M","C23002B_024E","C23002B_024M","C23002B_025E","C23002B_025M","C23002B_026E","C23002B_026M","C23002B_027E","C23002B_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!16 to 64 years","Margin of Error!!Total!!Male!!16 to 64 years","Estimate!!Total!!Male!!16 to 64 years!!In labor force","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!In Armed Forces","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!In Armed Forces","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Employed","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Male!!16 to 64 years!!Not in labor force","Margin of Error!!Total!!Male!!16 to 64 years!!Not in labor force","Estimate!!Total!!Male!!65 years and over","Margin of Error!!Total!!Male!!65 years and over","Estimate!!Total!!Male!!65 years and over!!In labor force","Margin of Error!!Total!!Male!!65 years and over!!In labor force","Estimate!!Total!!Male!!65 years and over!!In labor force!!Employed","Margin of Error!!Total!!Male!!65 years and over!!In labor force!!Employed","Estimate!!Total!!Male!!65 years and over!!In labor force!!Unemployed","Margin of Error!!Total!!Male!!65 years and over!!In labor force!!Unemployed","Estimate!!Total!!Male!!65 years and over!!Not in labor force","Margin of Error!!Total!!Male!!65 years and over!!Not in labor force","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!16 to 64 years","Margin of Error!!Total!!Female!!16 to 64 years","Estimate!!Total!!Female!!16 to 64 years!!In labor force","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!In Armed Forces","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!In Armed Forces","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Employed","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Female!!16 to 64 years!!Not in labor force","Margin of Error!!Total!!Female!!16 to 64 years!!Not in labor force","Estimate!!Total!!Female!!65 years and over","Margin of Error!!Total!!Female!!65 years and over","Estimate!!Total!!Female!!65 years and over!!In labor force","Margin of Error!!Total!!Female!!65 years and over!!In labor force","Estimate!!Total!!Female!!65 years and over!!In labor force!!Employed","Margin of Error!!Total!!Female!!65 years and over!!In labor force!!Employed","Estimate!!Total!!Female!!65 years and over!!In labor force!!Unemployed","Margin of Error!!Total!!Female!!65 years and over!!In labor force!!Unemployed","Estimate!!Total!!Female!!65 years and over!!Not in labor force","Margin of Error!!Total!!Female!!65 years and over!!Not in labor force"
"0400000US27","Minnesota","235316","1460","120218","1076","112954","1038","84450","1213","52","59","84398","1211","75189","1270","9209","768","28504","1126","7264","236","1829","235","1728","236","101","72","5435","287","115098","946","105730","910","78770","1211","7","15","78763","1211","71746","1205","7017","646","26960","1013","9368","193","1388","201","1315","192","73","70","7980","287"
"0400000US28","Mississippi","854769","1568","392244","1131","344207","1155","214842","2287","1289","258","213553","2296","185051","2361","28502","1435","129365","2300","48037","273","7405","586","7082","578","323","107","40632","624","462525","1136","392835","1122","258950","2246","349","110","258601","2249","227954","2528","30647","1389","133885","2379","69690","288","7501","544","7108","514","393","133","62189","580"
"0400000US29","Missouri","541325","2043","251307","1299","221853","1274","151624","1735","2106","359","149518","1744","130806","1804","18712","1233","70229","1739","29454","274","5172","383","4986","375","186","107","24282","426","290018","1226","243823","1220","179169","1930","908","314","178261","1931","161454","2113","16807","975","64654","1716","46195","327","6771","471","6395","454","376","129","39424","534"
"0400000US30","Montana","3773","271","2734","258","2624","257","2075","284","211","100","1864","294","1684","300","180","111","549","139","110","62","14","22","14","22","0","23","96","59","1039","176","908","150","616","124","53","60","563","117","559","118","4","7","292","112","131","66","65","48","65","48","0","23","66","45"
"0400000US31","Nebraska","66373","853","33741","566","30838","567","22746","666","250","113","22496","675","20508","666","1988","261","8092","574","2903","104","627","104","595","102","32","28","2276","153","32632","559","28729","567","21413","685","67","79","21346","690","19826","645","1520","336","7316","480","3903","110","734","123","686","123","48","39","3169","171"
"0400000US32","Nevada","200498","1494","99348","1001","86893","977","60201","1102","587","169","59614","1080","52922","1145","6692","588","26692","965","12455","258","2018","300","1919","296","99","53","10437","405","101150","992","86053","922","60548","1310","211","101","60337","1307","53184","1338","7153","740","25505","1124","15097","257","2239","313","1974","312","265","127","12858","389"
"0400000US33","New Hampshire","15767","718","9446","575","8815","561","6333","535","141","106","6192","534","5753","533","439","147","2482","337","631","98","134","65","111","66","23","36","497","107","6321","389","5914","379","4257","423","0","27","4257","423","3863","376","394","177","1657","338","407","78","116","55","94","52","22","28","291","80"
"0400000US34","New Jersey","950782","3123","440016","1937","385922","1823","274569","2481","876","219","273693","2521","238926","2679","34767","1742","111353","2285","54094","377","12524","618","11550","620","974","194","41570","667","510766","2030","424347","1973","315048","2781","231","103","314817","2771","283649","2512","31168","1372","109299","2365","86419","521","13432","739","12789","735","643","182","72987","787"
"0400000US35","New Mexico","34301","898","19865","593","17189","579","11914","579","862","226","11052","607","10029","550","1023","260","5275","530","2676","217","381","150","366","145","15","21","2295","246","14436","614","11876","588","7949","553","171","120","7778","549","7084","526","694","236","3927","537","2560","221","369","110","360","112","9","13","2191","230"
