"GEO_ID","NAME","C23002I_001E","C23002I_001M","C23002I_002E","C23002I_002M","C23002I_003E","C23002I_003M","C23002I_004E","C23002I_004M","C23002I_005E","C23002I_005M","C23002I_006E","C23002I_006M","C23002I_007E","C23002I_007M","C23002I_008E","C23002I_008M","C23002I_009E","C23002I_009M","C23002I_010E","C23002I_010M","C23002I_011E","C23002I_011M","C23002I_012E","C23002I_012M","C23002I_013E","C23002I_013M","C23002I_014E","C23002I_014M","C23002I_015E","C23002I_015M","C23002I_016E","C23002I_016M","C23002I_017E","C23002I_017M","C23002I_018E","C23002I_018M","C23002I_019E","C23002I_019M","C23002I_020E","C23002I_020M","C23002I_021E","C23002I_021M","C23002I_022E","C23002I_022M","C23002I_023E","C23002I_023M","C23002I_024E","C23002I_024M","C23002I_025E","C23002I_025M","C23002I_026E","C23002I_026M","C23002I_027E","C23002I_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!16 to 64 years","Margin of Error!!Total!!Male!!16 to 64 years","Estimate!!Total!!Male!!16 to 64 years!!In labor force","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!In Armed Forces","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!In Armed Forces","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Employed","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Male!!16 to 64 years!!Not in labor force","Margin of Error!!Total!!Male!!16 to 64 years!!Not in labor force","Estimate!!Total!!Male!!65 years and over","Margin of Error!!Total!!Male!!65 years and over","Estimate!!Total!!Male!!65 years and over!!In labor force","Margin of Error!!Total!!Male!!65 years and over!!In labor force","Estimate!!Total!!Male!!65 years and over!!In labor force!!Employed","Margin of Error!!Total!!Male!!65 years and over!!In labor force!!Employed","Estimate!!Total!!Male!!65 years and over!!In labor force!!Unemployed","Margin of Error!!Total!!Male!!65 years and over!!In labor force!!Unemployed","Estimate!!Total!!Male!!65 years and over!!Not in labor force","Margin of Error!!Total!!Male!!65 years and over!!Not in labor force","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!16 to 64 years","Margin of Error!!Total!!Female!!16 to 64 years","Estimate!!Total!!Female!!16 to 64 years!!In labor force","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!In Armed Forces","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!In Armed Forces","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Employed","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Female!!16 to 64 years!!Not in labor force","Margin of Error!!Total!!Female!!16 to 64 years!!Not in labor force","Estimate!!Total!!Female!!65 years and over","Margin of Error!!Total!!Female!!65 years and over","Estimate!!Total!!Female!!65 years and over!!In labor force","Margin of Error!!Total!!Female!!65 years and over!!In labor force","Estimate!!Total!!Female!!65 years and over!!In labor force!!Employed","Margin of Error!!Total!!Female!!65 years and over!!In labor force!!Employed","Estimate!!Total!!Female!!65 years and over!!In labor force!!Unemployed","Margin of Error!!Total!!Female!!65 years and over!!In labor force!!Unemployed","Estimate!!Total!!Female!!65 years and over!!Not in labor force","Margin of Error!!Total!!Female!!65 years and over!!Not in labor force"
"5001600US1000","Congressional District (at Large) (116th Congress), Delaware","58225","211","30037","180","28176","181","23005","444","225","115","22780","457","21637","450","1143","228","5171","470","1861","*****","639","154","638","154","1","3","1222","154","28188","136","25979","136","16915","515","38","32","16877","519","15702","553","1175","233","9064","511","2209","*****","278","94","259","93","19","32","1931","94"
"5001600US1198","Delegate District (at Large) (116th Congress), District of Columbia","56157","169","28581","129","26989","129","22949","394","379","130","22570","413","21675","399","895","263","4040","392","1592","*****","496","162","496","162","0","29","1096","162","27576","109","25035","109","19532","453","64","52","19468","461","18331","488","1137","278","5503","466","2541","*****","810","174","741","181","69","54","1731","174"
"5001600US3710","Congressional District 10 (116th Congress), North Carolina","31617","629","16296","421","15337","432","12724","524","32","28","12692","526","11947","534","745","232","2613","352","959","129","100","54","100","54","0","29","859","137","15321","387","14187","403","8934","495","0","29","8934","495","8180","503","754","200","5253","457","1134","112","129","83","129","83","0","29","1005","125"
"5001600US3911","Congressional District 11 (116th Congress), Ohio","21304","912","10323","608","9390","573","6560","509","0","27","6560","509","5851","501","709","178","2830","330","933","143","147","68","129","62","18","26","786","124","10981","569","9702","558","5947","430","0","27","5947","430","5383","372","564","187","3755","420","1279","152","117","45","106","44","11","14","1162","153"
"5001600US2901","Congressional District 1 (116th Congress), Missouri","18654","753","10150","524","9540","495","8083","499","57","61","8026","504","7502","525","524","169","1457","274","610","103","186","77","186","77","0","26","424","109","8504","389","7777","380","5221","356","37","43","5184","347","4933","335","251","120","2556","341","727","96","75","49","75","49","0","26","652","91"
"5001600US1704","Congressional District 4 (116th Congress), Illinois","356948","3477","180655","2364","164999","2379","135778","2260","74","69","135704","2251","126084","2023","9620","799","29221","1246","15656","625","2932","306","2828","303","104","50","12724","606","176293","1977","157571","1870","98654","1999","38","52","98616","1987","89875","1889","8741","616","58917","1546","18722","735","2042","285","1998","283","44","31","16680","755"
"5001600US17ZZ","Congressional Districts not defined (116th Congress), Illinois","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"5001600US0635","Congressional District 35 (116th Congress), California","385532","2971","191718","1997","177611","2049","141053","2021","119","104","140934","2019","130182","2002","10752","837","36558","1252","14107","668","2503","293","2257","309","246","136","11604","653","193814","2219","175585","2058","108823","2076","36","60","108787","2068","98433","2054","10354","801","66762","1750","18229","664","1787","242","1739","241","48","33","16442","672"
"5001600US2801","Congressional District 1 (116th Congress), Mississippi","16316","185","8975","264","8646","259","6937","293","73","67","6864","304","6436","315","428","143","1709","295","329","119","105","56","86","52","19","25","224","100","7341","258","6856","290","3842","283","11","20","3831","278","3427","258","404","129","3014","357","485","156","15","16","15","16","0","30","470","153"
