"GEO_ID","NAME","C23002I_001E","C23002I_001M","C23002I_002E","C23002I_002M","C23002I_003E","C23002I_003M","C23002I_004E","C23002I_004M","C23002I_005E","C23002I_005M","C23002I_006E","C23002I_006M","C23002I_007E","C23002I_007M","C23002I_008E","C23002I_008M","C23002I_009E","C23002I_009M","C23002I_010E","C23002I_010M","C23002I_011E","C23002I_011M","C23002I_012E","C23002I_012M","C23002I_013E","C23002I_013M","C23002I_014E","C23002I_014M","C23002I_015E","C23002I_015M","C23002I_016E","C23002I_016M","C23002I_017E","C23002I_017M","C23002I_018E","C23002I_018M","C23002I_019E","C23002I_019M","C23002I_020E","C23002I_020M","C23002I_021E","C23002I_021M","C23002I_022E","C23002I_022M","C23002I_023E","C23002I_023M","C23002I_024E","C23002I_024M","C23002I_025E","C23002I_025M","C23002I_026E","C23002I_026M","C23002I_027E","C23002I_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!16 to 64 years","Margin of Error!!Total!!Male!!16 to 64 years","Estimate!!Total!!Male!!16 to 64 years!!In labor force","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!In Armed Forces","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!In Armed Forces","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Employed","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Male!!16 to 64 years!!Not in labor force","Margin of Error!!Total!!Male!!16 to 64 years!!Not in labor force","Estimate!!Total!!Male!!65 years and over","Margin of Error!!Total!!Male!!65 years and over","Estimate!!Total!!Male!!65 years and over!!In labor force","Margin of Error!!Total!!Male!!65 years and over!!In labor force","Estimate!!Total!!Male!!65 years and over!!In labor force!!Employed","Margin of Error!!Total!!Male!!65 years and over!!In labor force!!Employed","Estimate!!Total!!Male!!65 years and over!!In labor force!!Unemployed","Margin of Error!!Total!!Male!!65 years and over!!In labor force!!Unemployed","Estimate!!Total!!Male!!65 years and over!!Not in labor force","Margin of Error!!Total!!Male!!65 years and over!!Not in labor force","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!16 to 64 years","Margin of Error!!Total!!Female!!16 to 64 years","Estimate!!Total!!Female!!16 to 64 years!!In labor force","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!In Armed Forces","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!In Armed Forces","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Employed","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Female!!16 to 64 years!!Not in labor force","Margin of Error!!Total!!Female!!16 to 64 years!!Not in labor force","Estimate!!Total!!Female!!65 years and over","Margin of Error!!Total!!Female!!65 years and over","Estimate!!Total!!Female!!65 years and over!!In labor force","Margin of Error!!Total!!Female!!65 years and over!!In labor force","Estimate!!Total!!Female!!65 years and over!!In labor force!!Employed","Margin of Error!!Total!!Female!!65 years and over!!In labor force!!Employed","Estimate!!Total!!Female!!65 years and over!!In labor force!!Unemployed","Margin of Error!!Total!!Female!!65 years and over!!In labor force!!Unemployed","Estimate!!Total!!Female!!65 years and over!!Not in labor force","Margin of Error!!Total!!Female!!65 years and over!!Not in labor force"
"0400000US27","Minnesota","189915","427","99931","382","95712","426","81240","714","90","59","81150","719","76294","816","4856","535","14472","783","4219","171","937","144","867","145","70","70","3282","189","89984","348","85201","406","61958","1030","15","22","61943","1031","57514","1127","4429","457","23243","1051","4783","197","740","161","718","160","22","30","4043","247"
"0400000US28","Mississippi","61659","784","35769","804","33936","789","23916","694","815","218","23101","731","21764","746","1337","371","10020","743","1833","283","546","147","522","143","24","27","1287","246","25890","490","23826","488","13721","617","227","102","13494","617","11850","564","1644","326","10105","632","2064","320","208","82","208","82","0","30","1856","319"
"0400000US29","Missouri","165882","570","86001","540","80198","529","66059","947","1862","346","64197","983","61334","966","2863","396","14139","843","5803","289","1445","185","1381","192","64","61","4358","287","79881","532","72627","592","49076","954","802","244","48274","918","45348","953","2926","392","23551","989","7254","360","1034","229","1022","228","12","15","6220","360"
"0400000US30","Montana","26200","271","13265","320","12201","310","9534","354","276","114","9258","365","8764","379","494","171","2667","305","1064","148","205","98","201","98","4","8","859","122","12935","288","11814","317","8417","375","70","64","8347","385","8083","414","264","110","3397","326","1121","175","200","88","197","87","3","7","921","151"
"0400000US31","Nebraska","129302","327","68124","329","64517","351","54751","728","394","132","54357","731","51117","816","3240","396","9766","684","3607","180","1253","190","1207","195","46","40","2354","181","61178","347","57592","380","40479","852","115","63","40364","853","37519","843","2845","391","17113","816","3586","141","811","128","786","122","25","28","2775","168"
"0400000US32","Nevada","585061","562","296709","509","275887","520","229101","1456","867","173","228234","1472","213647","1642","14587","891","46786","1461","20822","143","5080","441","4685","422","395","158","15742","456","288352","448","263124","452","180072","1554","304","117","179768","1570","166375","1529","13393","920","83052","1641","25228","100","3495","423","3312","405","183","117","21733","413"
"0400000US33","New Hampshire","34254","251","17819","258","16819","273","13567","402","150","102","13417","411","12286","413","1131","254","3252","377","1000","86","130","71","122","67","8","16","870","93","16435","165","15152","170","10686","412","34","53","10652","412","10115","374","537","154","4466","390","1283","115","305","104","297","103","8","11","978","124"
"0400000US34","New Jersey","1304333","920","651212","703","594565","698","487074","2432","1599","299","485475","2411","457867","2516","27608","1127","107491","2457","56647","41","14787","602","14014","602","773","192","41860","603","653121","666","575884","670","400755","2837","254","112","400501","2822","371038","2968","29463","1395","175129","2854","77237","45","10650","744","10099","736","551","145","66587","746"
"0400000US35","New Mexico","752621","865","370528","665","320444","668","231230","1826","1458","341","229772","1820","211112","2109","18660","1275","89214","1908","50084","58","7827","516","7387","531","440","154","42257","521","382093","642","320749","644","206689","2266","311","161","206378","2278","191899","2515","14479","1018","114060","2384","61344","*****","7424","522","7128","515","296","121","53920","523"
