"GEO_ID","NAME","C23002A_001E","C23002A_001M","C23002A_002E","C23002A_002M","C23002A_003E","C23002A_003M","C23002A_004E","C23002A_004M","C23002A_005E","C23002A_005M","C23002A_006E","C23002A_006M","C23002A_007E","C23002A_007M","C23002A_008E","C23002A_008M","C23002A_009E","C23002A_009M","C23002A_010E","C23002A_010M","C23002A_011E","C23002A_011M","C23002A_012E","C23002A_012M","C23002A_013E","C23002A_013M","C23002A_014E","C23002A_014M","C23002A_015E","C23002A_015M","C23002A_016E","C23002A_016M","C23002A_017E","C23002A_017M","C23002A_018E","C23002A_018M","C23002A_019E","C23002A_019M","C23002A_020E","C23002A_020M","C23002A_021E","C23002A_021M","C23002A_022E","C23002A_022M","C23002A_023E","C23002A_023M","C23002A_024E","C23002A_024M","C23002A_025E","C23002A_025M","C23002A_026E","C23002A_026M","C23002A_027E","C23002A_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!16 to 64 years","Margin of Error!!Total!!Male!!16 to 64 years","Estimate!!Total!!Male!!16 to 64 years!!In labor force","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!In Armed Forces","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!In Armed Forces","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Employed","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Male!!16 to 64 years!!Not in labor force","Margin of Error!!Total!!Male!!16 to 64 years!!Not in labor force","Estimate!!Total!!Male!!65 years and over","Margin of Error!!Total!!Male!!65 years and over","Estimate!!Total!!Male!!65 years and over!!In labor force","Margin of Error!!Total!!Male!!65 years and over!!In labor force","Estimate!!Total!!Male!!65 years and over!!In labor force!!Employed","Margin of Error!!Total!!Male!!65 years and over!!In labor force!!Employed","Estimate!!Total!!Male!!65 years and over!!In labor force!!Unemployed","Margin of Error!!Total!!Male!!65 years and over!!In labor force!!Unemployed","Estimate!!Total!!Male!!65 years and over!!Not in labor force","Margin of Error!!Total!!Male!!65 years and over!!Not in labor force","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!16 to 64 years","Margin of Error!!Total!!Female!!16 to 64 years","Estimate!!Total!!Female!!16 to 64 years!!In labor force","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!In Armed Forces","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!In Armed Forces","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Employed","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Female!!16 to 64 years!!Not in labor force","Margin of Error!!Total!!Female!!16 to 64 years!!Not in labor force","Estimate!!Total!!Female!!65 years and over","Margin of Error!!Total!!Female!!65 years and over","Estimate!!Total!!Female!!65 years and over!!In labor force","Margin of Error!!Total!!Female!!65 years and over!!In labor force","Estimate!!Total!!Female!!65 years and over!!In labor force!!Employed","Margin of Error!!Total!!Female!!65 years and over!!In labor force!!Employed","Estimate!!Total!!Female!!65 years and over!!In labor force!!Unemployed","Margin of Error!!Total!!Female!!65 years and over!!In labor force!!Unemployed","Estimate!!Total!!Female!!65 years and over!!Not in labor force","Margin of Error!!Total!!Female!!65 years and over!!Not in labor force"
"5001600US2701","Congressional District 1 (116th Congress), Minnesota","489831","919","241544","664","192135","661","163924","1012","146","86","163778","1002","157677","1133","6101","462","28211","919","49409","177","11989","436","11700","437","289","79","37420","451","248287","517","188045","462","153247","1072","5","5","153242","1073","149074","1081","4168","396","34798","1001","60242","183","8096","301","7952","287","144","60","52146","338"
"5001600US2702","Congressional District 2 (116th Congress), Minnesota","471188","1245","230494","827","191757","809","168873","1126","373","144","168500","1119","162888","1187","5612","488","22884","911","38737","222","8817","443","8572","434","245","101","29920","476","240694","740","193425","730","157949","1244","62","40","157887","1250","153744","1273","4143","344","35476","1026","47269","278","7604","470","7452","468","152","62","39665","466"
"5001600US2703","Congressional District 3 (116th Congress), Minnesota","466468","2152","225024","1712","181181","1570","159828","1566","110","72","159718","1564","154907","1531","4811","442","21353","1020","43843","629","11339","576","11056","561","283","92","32504","672","241444","1548","186377","1322","148275","1751","5","7","148270","1751","144223","1750","4047","398","38102","1088","55067","622","10034","510","9744","508","290","120","45033","635"
"5001600US2704","Congressional District 4 (116th Congress), Minnesota","417879","1134","200396","745","162569","774","137200","991","209","143","136991","1032","132028","1031","4963","462","25369","886","37827","244","8518","490","8234","488","284","99","29309","542","217483","895","167369","829","135635","1252","34","35","135601","1246","131469","1238","4132","437","31734","1023","50114","325","7457","417","7289","418","168","88","42657","476"
"5001600US2705","Congressional District 5 (116th Congress), Minnesota","410593","2331","202988","1752","172078","1569","149396","1645","85","58","149311","1640","143419","1635","5892","548","22682","885","30910","652","8116","494","7879","483","237","86","22794","710","207605","1634","166296","1434","139445","1399","14","22","139431","1397","134655","1281","4776","511","26851","882","41309","635","7477","408","7370","406","107","49","33832","693"
"5001600US2706","Congressional District 6 (116th Congress), Minnesota","501844","1145","252238","920","213830","880","184933","1183","206","105","184727","1179","177575","1161","7152","612","28897","939","38408","437","8464","434","8244","431","220","71","29944","558","249606","892","205047","858","167611","1145","37","38","167574","1134","163070","1184","4504","439","37436","896","44559","463","6748","483","6685","479","63","42","37811","597"
"5001600US2707","Congressional District 7 (116th Congress), Minnesota","489005","844","243342","529","187069","493","159775","801","145","66","159630","807","154312","851","5318","367","27294","765","56273","199","12896","351","12611","353","285","45","43377","407","245663","561","179020","527","142303","964","19","13","142284","964","138886","1005","3398","308","36717","863","66643","219","9363","366","9229","367","134","41","57280","440"
"5001600US2708","Congressional District 8 (116th Congress), Minnesota","507816","477","255275","323","195559","294","155778","900","427","109","155351","909","147123","996","8228","501","39781","805","59716","133","9401","384","9096","366","305","86","50315","388","252541","315","185900","286","140573","888","74","44","140499","892","135780","973","4719","325","45327","862","66641","118","8218","339","8036","335","182","61","58423","328"
"5001600US2801","Congressional District 1 (116th Congress), Mississippi","419793","978","203203","600","162648","593","124958","1262","1088","202","123870","1264","117480","1368","6390","653","37690","1283","40555","130","8180","516","7911","500","269","114","32375","536","216590","567","164083","540","106552","1439","168","96","106384","1450","99239","1387","7145","738","57531","1361","52507","155","6626","406","6544","407","82","53","45881","404"
