"GEO_ID","NAME","C23002A_001E","C23002A_001M","C23002A_002E","C23002A_002M","C23002A_003E","C23002A_003M","C23002A_004E","C23002A_004M","C23002A_005E","C23002A_005M","C23002A_006E","C23002A_006M","C23002A_007E","C23002A_007M","C23002A_008E","C23002A_008M","C23002A_009E","C23002A_009M","C23002A_010E","C23002A_010M","C23002A_011E","C23002A_011M","C23002A_012E","C23002A_012M","C23002A_013E","C23002A_013M","C23002A_014E","C23002A_014M","C23002A_015E","C23002A_015M","C23002A_016E","C23002A_016M","C23002A_017E","C23002A_017M","C23002A_018E","C23002A_018M","C23002A_019E","C23002A_019M","C23002A_020E","C23002A_020M","C23002A_021E","C23002A_021M","C23002A_022E","C23002A_022M","C23002A_023E","C23002A_023M","C23002A_024E","C23002A_024M","C23002A_025E","C23002A_025M","C23002A_026E","C23002A_026M","C23002A_027E","C23002A_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!16 to 64 years","Margin of Error!!Total!!Male!!16 to 64 years","Estimate!!Total!!Male!!16 to 64 years!!In labor force","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!In Armed Forces","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!In Armed Forces","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Employed","Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Male!!16 to 64 years!!Not in labor force","Margin of Error!!Total!!Male!!16 to 64 years!!Not in labor force","Estimate!!Total!!Male!!65 years and over","Margin of Error!!Total!!Male!!65 years and over","Estimate!!Total!!Male!!65 years and over!!In labor force","Margin of Error!!Total!!Male!!65 years and over!!In labor force","Estimate!!Total!!Male!!65 years and over!!In labor force!!Employed","Margin of Error!!Total!!Male!!65 years and over!!In labor force!!Employed","Estimate!!Total!!Male!!65 years and over!!In labor force!!Unemployed","Margin of Error!!Total!!Male!!65 years and over!!In labor force!!Unemployed","Estimate!!Total!!Male!!65 years and over!!Not in labor force","Margin of Error!!Total!!Male!!65 years and over!!Not in labor force","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!16 to 64 years","Margin of Error!!Total!!Female!!16 to 64 years","Estimate!!Total!!Female!!16 to 64 years!!In labor force","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!In Armed Forces","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!In Armed Forces","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Employed","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Employed","Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Margin of Error!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Unemployed","Estimate!!Total!!Female!!16 to 64 years!!Not in labor force","Margin of Error!!Total!!Female!!16 to 64 years!!Not in labor force","Estimate!!Total!!Female!!65 years and over","Margin of Error!!Total!!Female!!65 years and over","Estimate!!Total!!Female!!65 years and over!!In labor force","Margin of Error!!Total!!Female!!65 years and over!!In labor force","Estimate!!Total!!Female!!65 years and over!!In labor force!!Employed","Margin of Error!!Total!!Female!!65 years and over!!In labor force!!Employed","Estimate!!Total!!Female!!65 years and over!!In labor force!!Unemployed","Margin of Error!!Total!!Female!!65 years and over!!In labor force!!Unemployed","Estimate!!Total!!Female!!65 years and over!!Not in labor force","Margin of Error!!Total!!Female!!65 years and over!!Not in labor force"
"0400000US27","Minnesota","3754624","2495","1851301","1542","1496178","1524","1279707","3047","1701","322","1278006","3045","1229929","3324","48077","1516","216471","2759","355123","265","79540","1187","77392","1152","2148","237","275583","1186","1903323","1562","1471479","1478","1185038","2832","250","82","1184788","2811","1150901","3108","33887","1153","286441","2553","431844","281","64997","1137","63757","1134","1240","182","366847","1135"
"0400000US28","Mississippi","1419912","1389","693148","1148","549566","1109","415512","2544","6841","633","408671","2452","385298","2492","23373","1161","134054","2372","143582","264","29812","1011","29098","981","714","169","113770","941","726764","852","545653","865","347452","2677","1301","277","346151","2669","324059","2698","22092","1337","198201","2865","181111","297","22527","906","22056","922","471","144","158584","942"
"0400000US29","Missouri","4065716","2341","1983048","1546","1591578","1560","1264264","3707","10873","725","1253391","3733","1193043","4161","60348","1816","327314","3495","391470","330","80033","1198","77781","1182","2252","267","311437","1214","2082668","1401","1592570","1348","1140918","3885","1951","375","1138967","3885","1092477","4223","46490","1714","451652","3792","490098","413","68199","1499","66662","1491","1537","215","421899","1573"
"0400000US30","Montana","759108","861","380668","634","296537","679","239406","1445","2385","334","237021","1405","227307","1544","9714","659","57131","1392","84131","158","19491","618","19018","623","473","104","64640","648","378440","532","287402","539","211557","1752","302","101","211255","1769","203977","1768","7278","578","75845","1682","91038","169","13981","647","13613","625","368","113","77057","634"
"0400000US31","Nebraska","1319938","2070","651201","1158","529188","1141","453589","1877","3899","334","449690","1884","434981","1956","14709","801","75599","1519","122013","191","34117","769","33693","742","424","104","87896","760","668737","1213","518153","1214","407512","1981","602","142","406910","1989","394012","2156","12898","775","110641","1892","150584","162","26639","724","26312","719","327","81","123945","731"
"0400000US32","Nevada","1580797","4242","802775","2233","634052","2244","507379","2762","5007","472","502372","2846","469954","2828","32418","1369","126673","2160","168723","498","33553","924","31239","885","2314","298","135170","1023","778022","2647","599382","2430","416120","3103","892","191","415228","3118","389421","2973","25807","1239","183262","2686","178640","628","26788","891","25625","865","1163","181","151852","1041"
"0400000US33","New Hampshire","1045515","1171","512467","783","411167","754","343920","1534","1397","268","342523","1557","326949","1868","15574","982","67247","1549","101300","137","26445","770","25730","744","715","154","74855","759","533048","758","411903","716","316952","1725","105","80","316847","1741","306033","1778","10814","660","94951","1748","121145","148","21767","791","21252","789","515","144","99378","791"
"0400000US34","New Jersey","4948631","7417","2397523","4628","1924805","4464","1582328","5373","5302","451","1577026","5318","1492904","5329","84122","1664","342477","3904","472718","987","126339","2041","120500","1971","5839","465","346379","2057","2551108","3714","1927058","3471","1406519","4701","782","197","1405737","4698","1332238","4754","73499","1512","520539","4211","624050","944","102551","1609","98089","1658","4462","472","521499","1798"
"0400000US35","New Mexico","1254336","3909","615198","2481","483545","2471","361304","2613","6464","610","354840","2676","329722","2746","25118","1313","122241","2174","131653","610","25244","990","24226","949","1018","244","106409","1065","639138","2473","484366","2309","318044","3379","1011","223","317033","3390","298852","3248","18181","1028","166322","2861","154772","845","22912","880","22182","874","730","192","131860","1139"
