B23006_001E,B23006_001M,B23006_002E,B23006_002M,B23006_003E,B23006_003M,B23006_004E,B23006_004M,B23006_005E,B23006_005M,B23006_006E,B23006_006M,B23006_007E,B23006_007M,B23006_008E,B23006_008M,B23006_009E,B23006_009M,B23006_010E,B23006_010M,B23006_011E,B23006_011M,B23006_012E,B23006_012M,B23006_013E,B23006_013M,B23006_014E,B23006_014M,B23006_015E,B23006_015M,B23006_016E,B23006_016M,B23006_017E,B23006_017M,B23006_018E,B23006_018M,B23006_019E,B23006_019M,B23006_020E,B23006_020M,B23006_021E,B23006_021M,B23006_022E,B23006_022M,B23006_023E,B23006_023M,B23006_024E,B23006_024M,B23006_025E,B23006_025M,B23006_026E,B23006_026M,B23006_027E,B23006_027M,B23006_028E,B23006_028M,B23006_029E,B23006_029M,GEO_ID,NAME
Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Less than high school graduate:,Margin of Error!!Total:!!Less than high school graduate:,Estimate!!Total:!!Less than high school graduate:!!In labor force:,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Less than high school graduate:!!Not in labor force,Margin of Error!!Total:!!Less than high school graduate:!!Not in labor force,Estimate!!Total:!!High school graduate (includes equivalency):,Margin of Error!!Total:!!High school graduate (includes equivalency):,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!High school graduate (includes equivalency):!!Not in labor force,Margin of Error!!Total:!!High school graduate (includes equivalency):!!Not in labor force,Estimate!!Total:!!Some college or associate's degree:,Margin of Error!!Total:!!Some college or associate's degree:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Some college or associate's degree:!!Not in labor force,Margin of Error!!Total:!!Some college or associate's degree:!!Not in labor force,Estimate!!Total:!!Bachelor's degree or higher:,Margin of Error!!Total:!!Bachelor's degree or higher:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Bachelor's degree or higher:!!Not in labor force,Margin of Error!!Total:!!Bachelor's degree or higher:!!Not in labor force,id,Geographic Area Name
364412,652,42837,1735,20925,1110,0,28,20925,1110,18357,1086,2568,429,21912,1348,117795,2382,75464,2126,182,98,75282,2125,70334,1985,4948,679,42331,1486,111960,2573,82767,2535,376,164,82391,2552,78831,2516,3560,458,29193,1197,91820,2405,77594,2202,254,99,77340,2191,76011,2152,1329,269,14226,951,5001600US0101,"Congressional District 1 (116th Congress), Alabama"
349703,1330,46390,1444,21522,952,4,7,21518,952,19055,950,2463,372,24868,990,109085,2105,71645,1872,426,159,71219,1898,66984,1823,4235,521,37440,1184,111978,2033,84501,1756,2085,314,82416,1758,79201,1699,3215,364,27477,1110,82250,1858,68583,1777,2391,328,66192,1710,64631,1692,1561,304,13667,789,5001600US0102,"Congressional District 2 (116th Congress), Alabama"
361846,1038,47693,1804,23130,1380,0,28,23130,1380,19937,1294,3193,475,24563,1210,108453,2277,73992,1840,271,134,73721,1860,69612,1861,4109,524,34461,1505,121511,2425,90835,2308,1275,340,89560,2291,85682,2362,3878,529,30676,1331,84189,2388,69845,2199,945,213,68900,2149,67727,2113,1173,271,14344,937,5001600US0103,"Congressional District 3 (116th Congress), Alabama"
348829,1107,57496,1907,28478,1306,0,28,28478,1306,26438,1294,2040,285,29018,1391,114135,2079,74363,1709,22,17,74341,1709,70843,1653,3498,466,39772,1378,114885,1805,85550,1769,110,63,85440,1769,82231,1767,3209,373,29335,1071,62313,1762,51148,1611,65,45,51083,1614,49885,1603,1198,224,11165,704,5001600US0104,"Congressional District 4 (116th Congress), Alabama"
380371,447,40321,1552,20943,1107,0,28,20943,1107,18784,1030,2159,422,19378,1147,97598,2042,65547,1643,54,53,65493,1638,61959,1537,3534,428,32051,1441,112842,1995,86666,1838,225,116,86441,1837,82089,1834,4352,755,26176,1097,129610,2365,109172,2287,947,241,108225,2292,105866,2282,2359,306,20438,1077,5001600US0105,"Congressional District 5 (116th Congress), Alabama"
373142,1954,31373,1574,16285,1110,0,28,16285,1110,15309,1030,976,229,15088,1112,85944,2431,58241,1809,78,62,58163,1804,55241,1825,2922,468,27703,1332,110631,2185,86476,2085,352,158,86124,2072,82783,2052,3341,450,24155,1207,145194,2070,124789,1836,242,82,124547,1823,122078,1853,2469,328,20405,829,5001600US0106,"Congressional District 6 (116th Congress), Alabama"
337693,2358,45276,1861,20252,1238,0,28,20252,1238,16776,1094,3476,531,25024,1292,110358,2812,68934,2098,22,38,68912,2100,62671,1991,6241,648,41424,1483,109632,2753,80817,2250,74,65,80743,2255,74831,2228,5912,577,28815,1205,72427,1970,61523,1850,152,85,61371,1855,59750,1786,1621,295,10904,822,5001600US0107,"Congressional District 7 (116th Congress), Alabama"
398003,497,25241,1048,14690,827,7,12,14683,828,12649,784,2034,280,10551,680,113321,2137,82499,1825,1065,222,81434,1798,73794,1769,7640,530,30822,992,142845,2168,114997,2009,5447,547,109550,1955,103414,2010,6136,540,27848,1010,116596,2129,100644,1902,3582,297,97062,1857,94908,1942,2154,356,15952,838,5001600US0200,"Congressional District (at Large) (116th Congress), Alaska"
361765,2039,45532,1593,20634,1054,0,29,20634,1054,17697,1014,2937,380,24898,1017,101426,2000,60547,1720,115,97,60432,1723,55365,1701,5067,549,40879,1530,132061,2252,91638,2069,218,123,91420,2081,85544,2059,5876,452,40423,1154,82746,2062,66009,1920,125,80,65884,1917,63986,1920,1898,268,16737,885,5001600US0401,"Congressional District 1 (116th Congress), Arizona"
353491,2124,32193,1539,17919,1084,12,20,17907,1081,16221,1022,1686,312,14274,1116,73103,1728,49634,1397,284,98,49350,1402,46063,1391,3287,400,23469,1012,130346,1880,97275,1816,2802,324,94473,1787,89448,1787,5025,487,33071,1076,117849,2102,95969,2093,2426,318,93543,2032,90960,2008,2583,344,21880,1033,5001600US0402,"Congressional District 2 (116th Congress), Arizona"
377187,2897,80494,1936,51350,1481,0,29,51350,1481,45723,1326,5627,624,29144,1182,107083,2591,76407,2272,241,116,76166,2264,71280,2204,4886,580,30676,1370,128206,2405,97445,2123,933,298,96512,2100,91904,2083,4608,558,30761,1268,61404,2054,51837,1725,370,142,51467,1703,49698,1660,1769,301,9567,785,5001600US0403,"Congressional District 3 (116th Congress), Arizona"
365254,2430,45846,1913,22977,1186,9,17,22968,1186,20467,1171,2501,438,22869,1540,107484,2583,67741,2194,357,135,67384,2207,63207,2129,4177,542,39743,1552,142224,2772,96758,2698,753,203,96005,2679,91407,2591,4598,609,45466,1733,69700,2099,53495,1724,346,138,53149,1730,51439,1666,1710,362,16205,838,5001600US0404,"Congressional District 4 (116th Congress), Arizona"
