"B23006_001E","B23006_001M","B23006_002E","B23006_002M","B23006_003E","B23006_003M","B23006_004E","B23006_004M","B23006_005E","B23006_005M","B23006_006E","B23006_006M","B23006_007E","B23006_007M","B23006_008E","B23006_008M","B23006_009E","B23006_009M","B23006_010E","B23006_010M","B23006_011E","B23006_011M","B23006_012E","B23006_012M","B23006_013E","B23006_013M","B23006_014E","B23006_014M","B23006_015E","B23006_015M","B23006_016E","B23006_016M","B23006_017E","B23006_017M","B23006_018E","B23006_018M","B23006_019E","B23006_019M","B23006_020E","B23006_020M","B23006_021E","B23006_021M","B23006_022E","B23006_022M","B23006_023E","B23006_023M","B23006_024E","B23006_024M","B23006_025E","B23006_025M","B23006_026E","B23006_026M","B23006_027E","B23006_027M","B23006_028E","B23006_028M","B23006_029E","B23006_029M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than high school graduate:","Margin of Error!!Total:!!Less than high school graduate:","Estimate!!Total:!!Less than high school graduate:!!In labor force:","Margin of Error!!Total:!!Less than high school graduate:!!In labor force:","Estimate!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces","Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces","Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:","Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:","Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed","Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed","Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed","Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed","Estimate!!Total:!!Less than high school graduate:!!Not in labor force","Margin of Error!!Total:!!Less than high school graduate:!!Not in labor force","Estimate!!Total:!!High school graduate (includes equivalency):","Margin of Error!!Total:!!High school graduate (includes equivalency):","Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:","Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:","Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces","Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces","Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:","Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:","Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed","Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed","Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed","Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed","Estimate!!Total:!!High school graduate (includes equivalency):!!Not in labor force","Margin of Error!!Total:!!High school graduate (includes equivalency):!!Not in labor force","Estimate!!Total:!!Some college or associate's degree:","Margin of Error!!Total:!!Some college or associate's degree:","Estimate!!Total:!!Some college or associate's degree:!!In labor force:","Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:","Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces","Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces","Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:","Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:","Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed","Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed","Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed","Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed","Estimate!!Total:!!Some college or associate's degree:!!Not in labor force","Margin of Error!!Total:!!Some college or associate's degree:!!Not in labor force","Estimate!!Total:!!Bachelor's degree or higher:","Margin of Error!!Total:!!Bachelor's degree or higher:","Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:","Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:","Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces","Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces","Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:","Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:","Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed","Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed","Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed","Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed","Estimate!!Total:!!Bachelor's degree or higher:!!Not in labor force","Margin of Error!!Total:!!Bachelor's degree or higher:!!Not in labor force","id","Geographic Area Name"
"2515996","1451","311386","4421","151535","2989","4","7","151531","2989","134656","2948","16875","1064","159851","3124","743368","6749","488186","5120","1055","263","487131","5114","457644","4893","29487","1490","255182","4170","793439","5746","597612","5350","4497","592","593115","5391","565648","5655","27467","1261","195827","3230","667803","7502","562654","6848","4996","495","557658","6800","545948","6657","11710","746","105149","2347","0400000US01","Alabama"
"398003","497","25241","1048","14690","827","7","12","14683","828","12649","784","2034","280","10551","680","113321","2137","82499","1825","1065","222","81434","1798","73794","1769","7640","530","30822","992","142845","2168","114997","2009","5447","547","109550","1955","103414","2010","6136","540","27848","1010","116596","2129","100644","1902","3582","297","97062","1857","94908","1942","2154","356","15952","838","0400000US02","Alaska"
"3525784","572","458201","5944","276530","4511","21","27","276509","4512","253570","4256","22939","1341","181671","3373","823506","6724","574538","6097","1316","268","573222","6097","537300","5658","35922","1619","248968","3837","1205119","8300","920045","7458","6233","562","913812","7380","873012","7281","40800","1598","285074","3772","1038958","8383","871188","7293","4385","454","866803","7280","843149","7127","23654","1001","167770","3123","0400000US04","Arizona"
"1512861","1223","178982","3572","96024","2198","61","62","95963","2194","88506","2159","7457","775","82958","2585","504599","5453","339246","4146","267","111","338979","4138","322504","4197","16475","998","165353","2956","465807","4481","352397","4194","1842","331","350555","4114","336301","4052","14254","968","113410","2511","363473","5604","309072","5438","1434","297","307638","5396","301960","5330","5678","546","54401","1486","0400000US05","Arkansas"
"20985502","1150","3337617","17589","2186384","12643","288","138","2186096","12657","2023180","12142","162916","3161","1151233","8219","4288037","26133","3136160","20560","12381","1003","3123779","20663","2923387","20063","200392","2941","1151877","9584","6105002","15138","4768574","13781","34621","1508","4733953","13921","4488852","13629","245101","3947","1336428","8276","7254846","32785","6221916","31178","25540","1268","6196376","30920","5986920","29707","209456","3183","1032930","6901","0400000US06","California"
"3051873","1086","245575","4104","164961","3371","42","42","164919","3368","155303","3438","9616","680","80614","2032","632736","6550","473410","5321","2096","300","471314","5317","448259","5070","23055","1320","159326","3405","902166","5952","727142","5754","9053","741","718089","5767","690449","5561","27640","1240","175024","2920","1271396","7962","1109114","7001","8627","685","1100487","6891","1073178","6968","27309","1184","162282","2259","0400000US08","Colorado"
"1882042","429","147729","3300","93593","2589","35","55","93558","2597","83003","2496","10555","815","54136","1756","478990","6464","369912","5503","800","183","369112","5495","342403","5140","26709","1160","109078","2454","477570","4063","398585","3705","2313","348","396272","3770","375618","3450","20654","957","78985","1928","777753","6638","680759","6426","1518","261","679241","6410","659820","6335","19421","909","96994","2025","0400000US09","Connecticut"
"495146","193","45943","1401","27572","1199","0","28","27572","1199","25152","1147","2420","341","18371","910","149682","2721","109512","2444","228","115","109284","2424","102392","2232","6892","658","40170","1558","135768","2519","110567","2293","1611","294","108956","2293","104436","2131","4520","636","25201","1053","163753","2542","142685","2357","861","240","141824","2356","138019","2324","3805","411","21068","988","0400000US10","Delaware"
"410446","127","31395","1613","18448","1343","0","29","18448","1343","15855","1203","2593","458","12947","1102","64538","1831","43447","1607","76","56","43371","1601","36743","1504","6628","641","21091","1198","62196","1782","47415","1564","421","138","46994","1548","42102","1438","4892","491","14781","977","252317","1924","233221","1982","1711","264","231510","2032","225150","2163","6360","699","19096","1045","0400000US11","District of Columbia"
"10760317","1561","1151571","11906","703541","8521","61","64","703480","8517","647081","7691","56399","2281","448030","6661","2997186","21998","2165740","17157","4814","594","2160926","17132","2032017","16394","128909","3406","831446","8520","3336577","15289","2610085","14661","17817","1162","2592268","14557","2471453","14417","120815","3118","726492","6514","3274983","24326","2742255","21834","16484","963","2725771","21561","2645460","21262","80311","2211","532728","6527","0400000US12","Florida"
