C23002B_001E,C23002B_001M,C23002B_002E,C23002B_002M,C23002B_003E,C23002B_003M,C23002B_004E,C23002B_004M,C23002B_005E,C23002B_005M,C23002B_006E,C23002B_006M,C23002B_007E,C23002B_007M,C23002B_008E,C23002B_008M,C23002B_009E,C23002B_009M,C23002B_010E,C23002B_010M,C23002B_011E,C23002B_011M,C23002B_012E,C23002B_012M,C23002B_013E,C23002B_013M,C23002B_014E,C23002B_014M,C23002B_015E,C23002B_015M,C23002B_016E,C23002B_016M,C23002B_017E,C23002B_017M,C23002B_018E,C23002B_018M,C23002B_019E,C23002B_019M,C23002B_020E,C23002B_020M,C23002B_021E,C23002B_021M,C23002B_022E,C23002B_022M,C23002B_023E,C23002B_023M,C23002B_024E,C23002B_024M,C23002B_025E,C23002B_025M,C23002B_026E,C23002B_026M,C23002B_027E,C23002B_027M,GEO_ID,NAME
Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Male:,Margin of Error!!Total:!!Male:,Estimate!!Total:!!Male:!!16 to 64 years:,Margin of Error!!Total:!!Male:!!16 to 64 years:,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:,Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Male:!!16 to 64 years:!!Not in labor force,Margin of Error!!Total:!!Male:!!16 to 64 years:!!Not in labor force,Estimate!!Total:!!Male:!!65 years and over:,Margin of Error!!Total:!!Male:!!65 years and over:,Estimate!!Total:!!Male:!!65 years and over:!!In labor force:,Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:,Estimate!!Total:!!Male:!!65 years and over:!!In labor force:!!Employed,Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:!!Employed,Estimate!!Total:!!Male:!!65 years and over:!!In labor force:!!Unemployed,Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:!!Unemployed,Estimate!!Total:!!Male:!!65 years and over:!!Not in labor force,Margin of Error!!Total:!!Male:!!65 years and over:!!Not in labor force,Estimate!!Total:!!Female:,Margin of Error!!Total:!!Female:,Estimate!!Total:!!Female:!!16 to 64 years:,Margin of Error!!Total:!!Female:!!16 to 64 years:,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:,Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Female:!!16 to 64 years:!!Not in labor force,Margin of Error!!Total:!!Female:!!16 to 64 years:!!Not in labor force,Estimate!!Total:!!Female:!!65 years and over:,Margin of Error!!Total:!!Female:!!65 years and over:,Estimate!!Total:!!Female:!!65 years and over:!!In labor force:,Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:,Estimate!!Total:!!Female:!!65 years and over:!!In labor force:!!Employed,Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:!!Employed,Estimate!!Total:!!Female:!!65 years and over:!!In labor force:!!Unemployed,Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:!!Unemployed,Estimate!!Total:!!Female:!!65 years and over:!!Not in labor force,Margin of Error!!Total:!!Female:!!65 years and over:!!Not in labor force,id,Geographic Area Name
148581,1021,67415,567,57864,561,34573,1048,167,107,34406,1058,30154,982,4252,528,23291,1032,9551,99,1346,173,1322,174,24,20,8205,184,81166,659,67132,621,43252,1125,21,36,43231,1129,39224,1053,4007,568,23880,1226,14034,132,1720,219,1663,226,57,40,12314,258,5001600US0101,"Congressional District 1 (116th Congress), Alabama"
165778,1497,75966,935,66523,918,41605,1130,626,171,40979,1135,36885,1105,4094,468,24918,974,9443,227,1695,230,1639,235,56,40,7748,305,89812,873,76365,864,51143,1206,359,164,50784,1214,46502,1257,4282,521,25222,1006,13447,267,1724,219,1633,224,91,60,11723,326,5001600US0102,"Congressional District 2 (116th Congress), Alabama"
143823,1221,65616,636,56492,625,36746,1073,482,190,36264,1046,33037,1092,3227,434,19746,908,9124,185,1300,246,1275,240,25,23,7824,276,78207,829,65132,801,43662,1221,116,76,43546,1216,39543,1295,4003,577,21470,1081,13075,203,1090,196,1032,193,58,46,11985,265,5001600US0103,"Congressional District 3 (116th Congress), Alabama"
38301,687,17853,428,15274,413,9207,574,0,28,9207,574,8316,530,891,223,6067,523,2579,143,246,96,246,96,0,28,2333,147,20448,447,16694,446,10819,492,0,28,10819,492,10018,523,801,192,5875,429,3754,157,478,136,476,137,2,3,3276,178,5001600US0104,"Congressional District 4 (116th Congress), Alabama"
100828,763,47163,378,41867,382,29049,775,245,160,28804,785,26449,835,2355,515,12818,773,5296,130,976,187,922,181,54,35,4320,217,53665,563,45961,539,33351,794,163,197,33188,809,30608,857,2580,431,12610,711,7704,118,1288,252,1248,247,40,41,6416,287,5001600US0105,"Congressional District 5 (116th Congress), Alabama"
85866,1602,39750,1041,36110,995,25738,1079,162,142,25576,1037,23644,1013,1932,393,10372,779,3640,271,504,149,504,149,0,28,3136,222,46116,1040,40599,938,30693,1031,45,46,30648,1036,28738,954,1910,359,9906,712,5517,384,715,172,715,172,0,28,4802,394,5001600US0106,"Congressional District 6 (116th Congress), Alabama"
331026,2304,146570,1401,123420,1367,77119,1717,106,83,77013,1715,67190,1706,9823,876,46301,1486,23150,351,3465,393,3290,383,175,73,19685,478,184456,1408,149590,1334,96168,1630,110,80,96058,1617,85915,1662,10143,694,53422,1494,34866,487,4498,421,4320,413,178,73,30368,558,5001600US0107,"Congressional District 7 (116th Congress), Alabama"
19519,596,11372,370,10509,360,8602,472,1453,289,7149,502,6744,505,405,156,1907,365,863,84,228,84,214,84,14,22,635,94,8147,409,7177,388,5594,396,393,158,5201,437,5046,430,155,96,1583,270,970,146,161,76,131,67,30,29,809,163,5001600US0200,"Congressional District (at Large) (116th Congress), Alaska"
14625,925,7834,587,6824,535,3822,498,1,3,3821,498,3457,399,364,205,3002,354,1010,201,248,117,248,117,0,29,762,178,6791,590,5806,555,3711,428,8,11,3703,426,3199,405,504,211,2095,402,985,210,186,103,148,84,38,60,799,175,5001600US0401,"Congressional District 1 (116th Congress), Arizona"
