"C23002B_001E","C23002B_001M","C23002B_002E","C23002B_002M","C23002B_003E","C23002B_003M","C23002B_004E","C23002B_004M","C23002B_005E","C23002B_005M","C23002B_006E","C23002B_006M","C23002B_007E","C23002B_007M","C23002B_008E","C23002B_008M","C23002B_009E","C23002B_009M","C23002B_010E","C23002B_010M","C23002B_011E","C23002B_011M","C23002B_012E","C23002B_012M","C23002B_013E","C23002B_013M","C23002B_014E","C23002B_014M","C23002B_015E","C23002B_015M","C23002B_016E","C23002B_016M","C23002B_017E","C23002B_017M","C23002B_018E","C23002B_018M","C23002B_019E","C23002B_019M","C23002B_020E","C23002B_020M","C23002B_021E","C23002B_021M","C23002B_022E","C23002B_022M","C23002B_023E","C23002B_023M","C23002B_024E","C23002B_024M","C23002B_025E","C23002B_025M","C23002B_026E","C23002B_026M","C23002B_027E","C23002B_027M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!16 to 64 years:","Margin of Error!!Total:!!Male:!!16 to 64 years:","Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:","Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:","Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!In Armed Forces","Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!In Armed Forces","Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:","Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:","Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed","Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed","Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed","Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed","Estimate!!Total:!!Male:!!16 to 64 years:!!Not in labor force","Margin of Error!!Total:!!Male:!!16 to 64 years:!!Not in labor force","Estimate!!Total:!!Male:!!65 years and over:","Margin of Error!!Total:!!Male:!!65 years and over:","Estimate!!Total:!!Male:!!65 years and over:!!In labor force:","Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:","Estimate!!Total:!!Male:!!65 years and over:!!In labor force:!!Employed","Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:!!Employed","Estimate!!Total:!!Male:!!65 years and over:!!In labor force:!!Unemployed","Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:!!Unemployed","Estimate!!Total:!!Male:!!65 years and over:!!Not in labor force","Margin of Error!!Total:!!Male:!!65 years and over:!!Not in labor force","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!16 to 64 years:","Margin of Error!!Total:!!Female:!!16 to 64 years:","Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:","Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:","Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!In Armed Forces","Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!In Armed Forces","Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:","Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:","Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed","Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed","Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed","Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed","Estimate!!Total:!!Female:!!16 to 64 years:!!Not in labor force","Margin of Error!!Total:!!Female:!!16 to 64 years:!!Not in labor force","Estimate!!Total:!!Female:!!65 years and over:","Margin of Error!!Total:!!Female:!!65 years and over:","Estimate!!Total:!!Female:!!65 years and over:!!In labor force:","Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:","Estimate!!Total:!!Female:!!65 years and over:!!In labor force:!!Employed","Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:!!Employed","Estimate!!Total:!!Female:!!65 years and over:!!In labor force:!!Unemployed","Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:!!Unemployed","Estimate!!Total:!!Female:!!65 years and over:!!Not in labor force","Margin of Error!!Total:!!Female:!!65 years and over:!!Not in labor force","id","Geographic Area Name"
"1014203","1835","460333","1176","397550","1148","254037","2766","1788","366","252249","2719","225675","2806","26574","1432","143513","2605","62783","213","9532","566","9198","557","334","90","53251","590","553870","1284","461473","1239","309088","2939","814","275","308274","2932","280548","2932","27726","1497","152385","2876","92397","245","11513","601","11087","619","426","143","80884","641","0400000US01","Alabama"
"19519","596","11372","370","10509","360","8602","472","1453","289","7149","502","6744","505","405","156","1907","365","863","84","228","84","214","84","14","22","635","94","8147","409","7177","388","5594","396","393","158","5201","437","5046","430","155","96","1583","270","970","146","161","76","131","67","30","29","809","163","0400000US02","Alaska"
"243885","1917","126092","1457","113216","1430","81163","1459","1507","288","79656","1428","73187","1488","6469","755","32053","1229","12876","264","2876","335","2610","303","266","167","10000","413","117793","1189","102294","1178","74650","1352","401","115","74249","1355","67629","1372","6620","634","27644","1337","15499","309","2629","351","2472","339","157","78","12870","406","0400000US04","Arizona"
"349442","1319","163236","915","142493","877","88188","1533","470","168","87718","1554","78868","1631","8850","740","54305","1465","20743","223","3240","412","3014","398","226","105","17503","433","186206","1019","157209","996","106119","1368","337","184","105782","1350","96920","1476","8862","669","51090","1284","28997","267","3563","364","3468","366","95","53","25434","467","0400000US05","Arkansas"
"1846975","5132","912766","3279","790738","3196","534148","3801","13171","972","520977","3811","462955","3869","58022","2186","256590","3249","122028","619","23577","945","22049","905","1528","271","98451","956","934209","3113","768880","3006","530786","3874","2977","481","527809","3888","474810","3878","52999","1950","238094","3702","165329","845","25219","892","23763","869","1456","258","140110","1097","0400000US06","California"
"181614","1778","98392","1231","88766","1246","67582","1349","2924","448","64658","1434","60185","1535","4473","664","21184","981","9626","202","2041","282","2004","282","37","31","7585","285","83222","1033","71938","1021","52465","1229","764","218","51701","1208","47910","1212","3791","499","19473","956","11284","251","1900","266","1869","263","31","26","9384","323","0400000US08","Colorado"
"303342","2410","142867","1451","126695","1409","91802","1618","637","205","91165","1611","80462","1524","10703","898","34893","1281","16172","228","3886","297","3577","301","309","137","12286","311","160475","1404","135449","1382","105379","1520","71","61","105308","1521","95317","1587","9991","890","30070","1164","25026","322","4906","411","4537","440","369","131","20120","499","0400000US09","Connecticut"
"165526","1071","76285","561","65867","547","47042","972","472","198","46570","988","42285","1048","4285","534","18825","862","10418","98","2571","293","2516","305","55","47","7847","303","89241","793","74551","780","55635","1179","85","66","55550","1170","51482","1191","4068","606","18916","1022","14690","131","2689","342","2432","339","257","94","12001","346","0400000US10","Delaware"
"258159","986","113452","556","95587","538","64000","1185","372","131","63628","1196","54495","1181","9133","691","31587","1212","17865","132","3812","389","3545","372","267","121","14053","416","144707","763","114681","699","79645","1308","123","59","79522","1309","69107","1310","10415","909","35036","1245","30026","187","5113","358","4878","353","235","87","24913","406","0400000US11","District of Columbia"
