C23002I_001E,C23002I_001M,C23002I_002E,C23002I_002M,C23002I_003E,C23002I_003M,C23002I_004E,C23002I_004M,C23002I_005E,C23002I_005M,C23002I_006E,C23002I_006M,C23002I_007E,C23002I_007M,C23002I_008E,C23002I_008M,C23002I_009E,C23002I_009M,C23002I_010E,C23002I_010M,C23002I_011E,C23002I_011M,C23002I_012E,C23002I_012M,C23002I_013E,C23002I_013M,C23002I_014E,C23002I_014M,C23002I_015E,C23002I_015M,C23002I_016E,C23002I_016M,C23002I_017E,C23002I_017M,C23002I_018E,C23002I_018M,C23002I_019E,C23002I_019M,C23002I_020E,C23002I_020M,C23002I_021E,C23002I_021M,C23002I_022E,C23002I_022M,C23002I_023E,C23002I_023M,C23002I_024E,C23002I_024M,C23002I_025E,C23002I_025M,C23002I_026E,C23002I_026M,C23002I_027E,C23002I_027M,GEO_ID,NAME
Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Male:,Margin of Error!!Total:!!Male:,Estimate!!Total:!!Male:!!16 to 64 years:,Margin of Error!!Total:!!Male:!!16 to 64 years:,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:,Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Male:!!16 to 64 years:!!Not in labor force,Margin of Error!!Total:!!Male:!!16 to 64 years:!!Not in labor force,Estimate!!Total:!!Male:!!65 years and over:,Margin of Error!!Total:!!Male:!!65 years and over:,Estimate!!Total:!!Male:!!65 years and over:!!In labor force:,Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:,Estimate!!Total:!!Male:!!65 years and over:!!In labor force:!!Employed,Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:!!Employed,Estimate!!Total:!!Male:!!65 years and over:!!In labor force:!!Unemployed,Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:!!Unemployed,Estimate!!Total:!!Male:!!65 years and over:!!Not in labor force,Margin of Error!!Total:!!Male:!!65 years and over:!!Not in labor force,Estimate!!Total:!!Female:,Margin of Error!!Total:!!Female:,Estimate!!Total:!!Female:!!16 to 64 years:,Margin of Error!!Total:!!Female:!!16 to 64 years:,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:,Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Female:!!16 to 64 years:!!Not in labor force,Margin of Error!!Total:!!Female:!!16 to 64 years:!!Not in labor force,Estimate!!Total:!!Female:!!65 years and over:,Margin of Error!!Total:!!Female:!!65 years and over:,Estimate!!Total:!!Female:!!65 years and over:!!In labor force:,Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:,Estimate!!Total:!!Female:!!65 years and over:!!In labor force:!!Employed,Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:!!Employed,Estimate!!Total:!!Female:!!65 years and over:!!In labor force:!!Unemployed,Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:!!Unemployed,Estimate!!Total:!!Female:!!65 years and over:!!Not in labor force,Margin of Error!!Total:!!Female:!!65 years and over:!!Not in labor force,id,Geographic Area Name
15781,232,8295,208,7454,234,6089,372,18,26,6071,371,5944,384,127,91,1365,304,841,134,306,138,297,138,9,15,535,167,7486,181,6637,179,3903,392,0,28,3903,392,3803,393,100,97,2734,374,849,49,145,96,145,96,0,28,704,108,5001600US0101,"Congressional District 1 (116th Congress), Alabama"
16143,409,8444,273,7965,276,6404,309,582,182,5822,357,5652,375,170,90,1561,213,479,71,175,68,175,68,0,28,304,71,7699,287,7123,292,3992,262,42,48,3950,262,3618,278,332,127,3131,352,576,121,73,41,59,34,14,23,503,111,5001600US0102,"Congressional District 2 (116th Congress), Alabama"
14516,228,8064,213,7611,206,5871,360,169,118,5702,346,5429,364,273,128,1740,331,453,133,50,43,50,43,0,28,403,130,6452,230,5930,243,3576,327,11,18,3565,329,3272,318,293,111,2354,328,522,131,21,24,21,24,0,28,501,127,5001600US0103,"Congressional District 3 (116th Congress), Alabama"
26873,466,14847,348,14326,366,11771,416,26,38,11745,419,11173,417,572,206,2555,326,521,155,66,44,55,42,11,20,455,153,12026,274,11311,318,5585,442,0,28,5585,442,5247,430,338,152,5726,521,715,196,51,39,48,38,3,5,664,190,5001600US0104,"Congressional District 4 (116th Congress), Alabama"
23928,192,12660,145,11869,175,10114,282,48,53,10066,288,9690,325,376,159,1755,253,791,148,294,138,280,139,14,24,497,173,11268,161,10297,170,5791,368,0,28,5791,368,5338,362,453,118,4506,377,971,104,58,39,58,39,0,28,913,109,5001600US0105,"Congressional District 5 (116th Congress), Alabama"
21435,750,11201,494,10617,487,8830,473,49,55,8781,478,8453,492,328,138,1787,325,584,120,215,67,203,69,12,19,369,116,10234,424,9635,417,5502,479,0,28,5502,479,5277,485,225,112,4133,384,599,86,92,54,92,54,0,28,507,86,5001600US0106,"Congressional District 6 (116th Congress), Alabama"
13775,764,7445,481,7065,491,5993,478,19,27,5974,481,5669,468,305,115,1072,235,380,102,39,40,39,40,0,28,341,102,6330,455,5990,452,3057,436,0,28,3057,436,2802,413,255,113,2933,346,340,106,100,70,70,59,30,43,240,105,5001600US0107,"Congressional District 7 (116th Congress), Alabama"
35664,230,18918,218,17960,224,15247,393,2350,343,12897,473,11875,516,1022,334,2713,359,958,81,415,101,358,100,57,53,543,116,16746,181,15435,207,10992,379,264,104,10728,391,10260,405,468,153,4443,407,1311,129,221,123,221,123,0,22,1090,137,5001600US0200,"Congressional District (at Large) (116th Congress), Alaska"
126364,1810,66490,1230,59394,1166,40447,1271,133,98,40314,1285,37541,1269,2773,445,18947,1056,7096,332,1252,284,1233,285,19,22,5844,356,59874,1158,51918,1082,33728,1015,56,65,33672,1013,30882,1101,2790,435,18190,849,7956,406,1055,192,1043,194,12,14,6901,435,5001600US0401,"Congressional District 1 (116th Congress), Arizona"
