"C23002I_001E","C23002I_001M","C23002I_002E","C23002I_002M","C23002I_003E","C23002I_003M","C23002I_004E","C23002I_004M","C23002I_005E","C23002I_005M","C23002I_006E","C23002I_006M","C23002I_007E","C23002I_007M","C23002I_008E","C23002I_008M","C23002I_009E","C23002I_009M","C23002I_010E","C23002I_010M","C23002I_011E","C23002I_011M","C23002I_012E","C23002I_012M","C23002I_013E","C23002I_013M","C23002I_014E","C23002I_014M","C23002I_015E","C23002I_015M","C23002I_016E","C23002I_016M","C23002I_017E","C23002I_017M","C23002I_018E","C23002I_018M","C23002I_019E","C23002I_019M","C23002I_020E","C23002I_020M","C23002I_021E","C23002I_021M","C23002I_022E","C23002I_022M","C23002I_023E","C23002I_023M","C23002I_024E","C23002I_024M","C23002I_025E","C23002I_025M","C23002I_026E","C23002I_026M","C23002I_027E","C23002I_027M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!16 to 64 years:","Margin of Error!!Total:!!Male:!!16 to 64 years:","Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:","Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:","Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!In Armed Forces","Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!In Armed Forces","Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:","Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:","Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed","Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed","Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed","Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed","Estimate!!Total:!!Male:!!16 to 64 years:!!Not in labor force","Margin of Error!!Total:!!Male:!!16 to 64 years:!!Not in labor force","Estimate!!Total:!!Male:!!65 years and over:","Margin of Error!!Total:!!Male:!!65 years and over:","Estimate!!Total:!!Male:!!65 years and over:!!In labor force:","Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:","Estimate!!Total:!!Male:!!65 years and over:!!In labor force:!!Employed","Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:!!Employed","Estimate!!Total:!!Male:!!65 years and over:!!In labor force:!!Unemployed","Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:!!Unemployed","Estimate!!Total:!!Male:!!65 years and over:!!Not in labor force","Margin of Error!!Total:!!Male:!!65 years and over:!!Not in labor force","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!16 to 64 years:","Margin of Error!!Total:!!Female:!!16 to 64 years:","Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:","Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:","Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!In Armed Forces","Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!In Armed Forces","Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:","Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:","Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed","Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed","Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed","Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed","Estimate!!Total:!!Female:!!16 to 64 years:!!Not in labor force","Margin of Error!!Total:!!Female:!!16 to 64 years:!!Not in labor force","Estimate!!Total:!!Female:!!65 years and over:","Margin of Error!!Total:!!Female:!!65 years and over:","Estimate!!Total:!!Female:!!65 years and over:!!In labor force:","Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:","Estimate!!Total:!!Female:!!65 years and over:!!In labor force:!!Employed","Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:!!Employed","Estimate!!Total:!!Female:!!65 years and over:!!In labor force:!!Unemployed","Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:!!Unemployed","Estimate!!Total:!!Female:!!65 years and over:!!Not in labor force","Margin of Error!!Total:!!Female:!!65 years and over:!!Not in labor force","id","Geographic Area Name"
"132451","555","70956","464","66907","517","55072","790","911","218","54161","783","52010","884","2151","358","11835","758","4049","303","1145","216","1099","210","46","42","2904","323","61495","581","56923","577","31406","941","53","51","31353","943","29357","935","1996","324","25517","1026","4572","311","540","150","493","142","47","48","4032","330","0400000US01","Alabama"
"35664","230","18918","218","17960","224","15247","393","2350","343","12897","473","11875","516","1022","334","2713","359","958","81","415","101","358","100","57","53","543","116","16746","181","15435","207","10992","379","264","104","10728","391","10260","405","468","153","4443","407","1311","129","221","123","221","123","0","22","1090","137","0400000US02","Alaska"
"1565759","1342","782900","946","715813","947","558984","2518","3668","482","555316","2591","521306","2776","34010","1303","156829","2675","67087","90","13865","721","13145","731","720","187","53222","732","782859","906","699130","906","450300","3455","792","207","449508","3441","416998","3644","32510","1411","248830","3411","83729","*****","10221","664","9862","663","359","116","73508","666","0400000US04","Arizona"
"146214","454","76817","462","72942","494","59135","786","177","79","58958","793","56800","824","2158","347","13807","877","3875","271","1186","243","1142","240","44","38","2689","295","69397","506","65208","539","40662","931","92","63","40570","918","38292","859","2278","464","24546","973","4189","320","421","154","395","155","26","32","3768","328","0400000US05","Arkansas"
"11163792","3003","5590348","2192","5117626","2175","4088085","5984","25004","1501","4063081","6120","3805004","6912","258077","4092","1029541","6224","472722","164","102119","1898","96916","1807","5203","528","370603","1913","5573444","2107","4955314","2091","3205503","7797","3788","423","3201715","7825","2954922","8044","246793","4261","1749811","7974","618130","122","75023","1670","71446","1663","3577","529","543107","1682","0400000US06","California"
"857622","884","436478","775","400517","762","324727","1566","4932","600","319795","1681","303730","1790","16065","960","75790","1732","35961","164","7657","456","7249","448","408","141","28304","474","421144","713","377378","742","256063","2005","963","215","255100","2026","239634","2028","15466","831","121315","2047","43766","203","6076","529","5934","516","142","61","37690","561","0400000US08","Colorado"
"414774","657","204916","440","189568","440","149386","1264","1094","255","148292","1266","134255","1487","14037","1110","40182","1326","15348","*****","3143","422","2952","412","191","135","12205","421","209858","456","189177","455","133368","1658","69","82","133299","1658","120513","1717","12786","704","55809","1707","20681","*****","2948","378","2789","368","159","98","17733","380","0400000US09","Connecticut"
"59579","197","30599","142","28556","142","23337","497","227","109","23110","502","21915","560","1195","292","5219","501","2043","*****","631","160","630","159","1","2","1412","159","28980","154","26611","153","17145","693","109","69","17036","685","15926","672","1110","235","9466","664","2369","*****","252","105","232","100","20","32","2117","104","0400000US10","Delaware"
"57042","162","28909","120","27230","120","23469","413","348","114","23121","409","22259","478","862","290","3761","406","1679","*****","654","168","654","168","0","29","1025","168","28133","102","25472","102","19905","511","78","59","19827","531","18866","569","961","258","5567","526","2661","*****","858","185","787","192","71","58","1803","185","0400000US11","District of Columbia"
