C23002A_001E,C23002A_001M,C23002A_002E,C23002A_002M,C23002A_003E,C23002A_003M,C23002A_004E,C23002A_004M,C23002A_005E,C23002A_005M,C23002A_006E,C23002A_006M,C23002A_007E,C23002A_007M,C23002A_008E,C23002A_008M,C23002A_009E,C23002A_009M,C23002A_010E,C23002A_010M,C23002A_011E,C23002A_011M,C23002A_012E,C23002A_012M,C23002A_013E,C23002A_013M,C23002A_014E,C23002A_014M,C23002A_015E,C23002A_015M,C23002A_016E,C23002A_016M,C23002A_017E,C23002A_017M,C23002A_018E,C23002A_018M,C23002A_019E,C23002A_019M,C23002A_020E,C23002A_020M,C23002A_021E,C23002A_021M,C23002A_022E,C23002A_022M,C23002A_023E,C23002A_023M,C23002A_024E,C23002A_024M,C23002A_025E,C23002A_025M,C23002A_026E,C23002A_026M,C23002A_027E,C23002A_027M,GEO_ID,NAME
Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Male:,Margin of Error!!Total:!!Male:,Estimate!!Total:!!Male:!!16 to 64 years:,Margin of Error!!Total:!!Male:!!16 to 64 years:,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:,Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Male:!!16 to 64 years:!!Not in labor force,Margin of Error!!Total:!!Male:!!16 to 64 years:!!Not in labor force,Estimate!!Total:!!Male:!!65 years and over:,Margin of Error!!Total:!!Male:!!65 years and over:,Estimate!!Total:!!Male:!!65 years and over:!!In labor force:,Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:,Estimate!!Total:!!Male:!!65 years and over:!!In labor force:!!Employed,Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:!!Employed,Estimate!!Total:!!Male:!!65 years and over:!!In labor force:!!Unemployed,Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:!!Unemployed,Estimate!!Total:!!Male:!!65 years and over:!!Not in labor force,Margin of Error!!Total:!!Male:!!65 years and over:!!Not in labor force,Estimate!!Total:!!Female:,Margin of Error!!Total:!!Female:,Estimate!!Total:!!Female:!!16 to 64 years:,Margin of Error!!Total:!!Female:!!16 to 64 years:,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:,Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Female:!!16 to 64 years:!!Not in labor force,Margin of Error!!Total:!!Female:!!16 to 64 years:!!Not in labor force,Estimate!!Total:!!Female:!!65 years and over:,Margin of Error!!Total:!!Female:!!65 years and over:,Estimate!!Total:!!Female:!!65 years and over:!!In labor force:,Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:,Estimate!!Total:!!Female:!!65 years and over:!!In labor force:!!Employed,Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:!!Employed,Estimate!!Total:!!Female:!!65 years and over:!!In labor force:!!Unemployed,Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:!!Unemployed,Estimate!!Total:!!Female:!!65 years and over:!!Not in labor force,Margin of Error!!Total:!!Female:!!65 years and over:!!Not in labor force,id,Geographic Area Name
390846,1060,188875,678,145410,634,110373,1562,650,214,109723,1540,104891,1667,4832,540,35037,1468,43465,219,8552,541,8233,526,319,101,34913,558,201971,682,149181,689,94648,1631,85,66,94563,1644,90384,1643,4179,557,54533,1733,52790,139,6417,590,6271,568,146,100,46373,590,5001600US0101,"Congressional District 1 (116th Congress), Alabama"
356752,972,173283,633,134672,568,102265,982,4669,490,97596,991,92764,1083,4832,512,32407,993,38611,229,7799,387,7589,375,210,76,30812,425,183469,601,134843,551,84415,1118,481,149,83934,1127,80259,1157,3675,336,50428,1140,48626,279,6218,398,6028,389,190,70,42408,450,5001600US0102,"Congressional District 2 (116th Congress), Alabama"
403561,1218,196646,819,156251,816,116261,1350,1983,337,114278,1331,108201,1489,6077,562,39990,1361,40395,218,7129,489,7005,485,124,58,33266,525,206915,681,157209,692,98424,1440,163,97,98261,1433,92922,1422,5339,528,58785,1439,49706,292,5499,464,5321,430,178,158,44207,522,5001600US0103,"Congressional District 3 (116th Congress), Alabama"
482900,1359,233999,991,183020,962,136205,1642,192,79,136013,1644,129098,1643,6915,579,46815,1608,50979,261,8847,540,8668,553,179,80,42132,578,248901,903,184478,834,110196,1702,26,24,110170,1703,104739,1781,5431,558,74282,1589,64423,352,6110,434,5969,429,141,67,58313,604,5001600US0104,"Congressional District 4 (116th Congress), Alabama"
446798,1223,218916,653,174906,637,135960,1268,925,209,135035,1302,129489,1392,5546,642,38946,1213,44010,178,9125,542,8790,528,335,111,34885,572,227882,792,172609,745,110858,1552,134,92,110724,1543,105453,1582,5271,571,61751,1602,55273,162,6054,464,5848,459,206,110,49219,493,5001600US0105,"Congressional District 5 (116th Congress), Alabama"
446610,2386,213853,1406,170033,1311,136672,1427,348,137,136324,1427,131411,1497,4913,552,33361,1176,43820,418,10250,498,10036,495,214,76,33570,556,232757,1454,176266,1313,117910,1745,99,73,117811,1733,113110,1828,4701,500,58356,1586,56491,503,7776,513,7581,513,195,83,48715,632,5001600US0106,"Congressional District 6 (116th Congress), Alabama"
191625,2407,94064,1419,75477,1348,54142,1364,98,58,54044,1370,51061,1291,2983,447,21335,1005,18587,494,3955,328,3796,309,159,107,14632,525,97561,1523,73235,1416,44352,1552,21,36,44331,1553,41795,1385,2536,398,28883,1130,24326,624,3268,311,3152,315,116,77,21058,581,5001600US0107,"Congressional District 7 (116th Congress), Alabama"
386923,1426,206662,822,174265,799,145107,1219,12105,641,133002,1244,125514,1304,7488,599,29158,1075,32397,138,9130,501,8678,491,452,117,23267,508,180261,964,149531,899,109249,1249,1532,262,107717,1266,102562,1290,5155,552,40282,1094,30730,210,6306,373,6073,389,233,120,24424,376,5001600US0200,"Congressional District (at Large) (116th Congress), Alaska"
408458,2987,205757,1814,149598,1709,104791,2008,298,126,104493,2014,97882,1957,6611,677,44807,1648,56159,875,8691,533,8357,518,334,124,47468,963,202701,1941,143410,1569,92316,1508,98,76,92218,1506,86171,1583,6047,579,51094,1544,59291,999,6873,555,6394,516,479,186,52418,1049,5001600US0401,"Congressional District 1 (116th Congress), Arizona"
492295,2965,238337,2077,173860,2054,133468,2132,5506,444,127962,2180,120238,2231,7724,662,40392,1400,64477,657,11262,625,10902,632,360,100,53215,849,253958,1867,177250,1752,120998,1850,1219,273,119779,1864,112722,1773,7057,652,56252,1525,76708,716,9909,585,9523,587,386,115,66799,810,5001600US0402,"Congressional District 2 (116th Congress), Arizona"
416551,4199,206129,2799,172803,2622,129212,2536,1374,340,127838,2469,118988,2595,8850,677,43591,1790,33326,852,5487,404,5005,394,482,163,27839,811,210422,2256,171326,2195,108930,2003,176,104,108754,2024,99914,1919,8840,910,62396,1968,39096,829,4577,369,4504,366,73,52,34519,811,5001600US0403,"Congressional District 3 (116th Congress), Arizona"
583987,3166,292400,2181,192018,2231,130421,1778,2151,341,128270,1803,119155,1882,9115,754,61597,1702,100382,840,11990,733,11330,738,660,162,88392,1044,291587,1987,186899,1559,117870,1448,162,69,117708,1460,110664,1608,7044,592,69029,1742,104688,1016,10053,538,9603,548,450,125,94635,1110,5001600US0404,"Congressional District 4 (116th Congress), Arizona"
538238,3815,261099,2483,204054,2351,172589,2104,260,97,172329,2108,164883,2021,7446,627,31465,1237,57045,1127,10527,592,10220,592,307,92,46518,1113,277139,2653,207473,2378,144743,2379,30,28,144713,2378,138876,2270,5837,617,62730,1563,69666,1071,8129,487,7870,485,259,94,61537,1085,5001600US0405,"Congressional District 5 (116th Congress), Arizona"
558105,4269,272642,2801,208441,2561,171926,2332,138,101,171788,2318,164435,2275,7353,606,36515,1720,64201,1217,15793,844,15382,834,411,115,48408,1151,285463,2746,210317,2606,151915,2300,0,29,151915,2300,145792,2220,6123,695,58402,1727,75146,1075,12861,712,12471,687,390,114,62285,1181,5001600US0406,"Congressional District 6 (116th Congress), Arizona"
395379,5230,197917,3393,177233,3322,137526,2755,154,74,137372,2749,129910,2745,7462,682,39707,1694,20684,745,4552,446,4429,448,123,66,16132,618,197462,2762,173092,2793,107394,2288,82,54,107312,2290,100631,2263,6681,630,65698,2182,24370,715,3253,382,3094,371,159,77,21117,779,5001600US0407,"Congressional District 7 (116th Congress), Arizona"
537871,3938,255397,2657,184445,2457,148020,2167,1787,337,146233,2203,138988,2184,7245,613,36425,1602,70952,1076,10631,545,10152,555,479,121,60321,1077,282474,2566,195122,2254,135799,2253,313,143,135486,2208,130175,2224,5311,526,59323,1839,87352,1094,9436,562,9038,553,398,92,77916,1241,5001600US0408,"Congressional District 8 (116th Congress), Arizona"
488293,4503,246281,2871,211018,2724,176822,2500,226,133,176596,2501,168551,2417,8045,606,34196,1339,35263,833,8997,586,8601,579,396,149,26266,772,242012,2966,197642,2756,147550,2294,110,94,147440,2306,140954,2142,6486,622,50092,1678,44370,910,8108,534,7868,525,240,99,36262,931,5001600US0409,"Congressional District 9 (116th Congress), Arizona"
