"C23002A_001E","C23002A_001M","C23002A_002E","C23002A_002M","C23002A_003E","C23002A_003M","C23002A_004E","C23002A_004M","C23002A_005E","C23002A_005M","C23002A_006E","C23002A_006M","C23002A_007E","C23002A_007M","C23002A_008E","C23002A_008M","C23002A_009E","C23002A_009M","C23002A_010E","C23002A_010M","C23002A_011E","C23002A_011M","C23002A_012E","C23002A_012M","C23002A_013E","C23002A_013M","C23002A_014E","C23002A_014M","C23002A_015E","C23002A_015M","C23002A_016E","C23002A_016M","C23002A_017E","C23002A_017M","C23002A_018E","C23002A_018M","C23002A_019E","C23002A_019M","C23002A_020E","C23002A_020M","C23002A_021E","C23002A_021M","C23002A_022E","C23002A_022M","C23002A_023E","C23002A_023M","C23002A_024E","C23002A_024M","C23002A_025E","C23002A_025M","C23002A_026E","C23002A_026M","C23002A_027E","C23002A_027M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!16 to 64 years:","Margin of Error!!Total:!!Male:!!16 to 64 years:","Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:","Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:","Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!In Armed Forces","Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!In Armed Forces","Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:","Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:","Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed","Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed","Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed","Margin of Error!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed","Estimate!!Total:!!Male:!!16 to 64 years:!!Not in labor force","Margin of Error!!Total:!!Male:!!16 to 64 years:!!Not in labor force","Estimate!!Total:!!Male:!!65 years and over:","Margin of Error!!Total:!!Male:!!65 years and over:","Estimate!!Total:!!Male:!!65 years and over:!!In labor force:","Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:","Estimate!!Total:!!Male:!!65 years and over:!!In labor force:!!Employed","Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:!!Employed","Estimate!!Total:!!Male:!!65 years and over:!!In labor force:!!Unemployed","Margin of Error!!Total:!!Male:!!65 years and over:!!In labor force:!!Unemployed","Estimate!!Total:!!Male:!!65 years and over:!!Not in labor force","Margin of Error!!Total:!!Male:!!65 years and over:!!Not in labor force","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!16 to 64 years:","Margin of Error!!Total:!!Female:!!16 to 64 years:","Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:","Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:","Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!In Armed Forces","Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!In Armed Forces","Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:","Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:","Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed","Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed","Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed","Margin of Error!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed","Estimate!!Total:!!Female:!!16 to 64 years:!!Not in labor force","Margin of Error!!Total:!!Female:!!16 to 64 years:!!Not in labor force","Estimate!!Total:!!Female:!!65 years and over:","Margin of Error!!Total:!!Female:!!65 years and over:","Estimate!!Total:!!Female:!!65 years and over:!!In labor force:","Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:","Estimate!!Total:!!Female:!!65 years and over:!!In labor force:!!Employed","Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:!!Employed","Estimate!!Total:!!Female:!!65 years and over:!!In labor force:!!Unemployed","Margin of Error!!Total:!!Female:!!65 years and over:!!In labor force:!!Unemployed","Estimate!!Total:!!Female:!!65 years and over:!!Not in labor force","Margin of Error!!Total:!!Female:!!65 years and over:!!Not in labor force","id","Geographic Area Name"
"2719092","2885","1319636","1788","1039769","1695","791878","3621","8865","642","783013","3566","746915","3635","36098","1540","247891","3663","279867","366","55657","1265","54117","1264","1540","217","224210","1309","1399456","1526","1047821","1480","660803","3822","1009","218","659794","3793","628662","3734","31132","1273","387018","3888","351635","370","41342","1060","40170","1075","1172","263","310293","1098","0400000US01","Alabama"
"386923","1426","206662","822","174265","799","145107","1219","12105","641","133002","1244","125514","1304","7488","599","29158","1075","32397","138","9130","501","8678","491","452","117","23267","508","180261","964","149531","899","109249","1249","1532","262","107717","1266","102562","1290","5155","552","40282","1094","30730","210","6306","373","6073","389","233","120","24424","376","0400000US02","Alaska"
"4419177","8917","2175959","4886","1673470","4631","1304775","5722","11894","752","1292881","5710","1223030","5735","69851","1675","368695","4466","502489","769","87930","1575","84378","1571","3552","320","414559","1647","2243218","4819","1662531","4354","1127515","5254","2190","318","1125325","5273","1065899","5181","59426","1831","535016","5289","580687","1017","73199","1376","70365","1370","2834","344","507488","1742","0400000US04","Arizona"
"1865428","2272","909136","1424","714673","1479","535167","3269","3079","372","532088","3286","507366","3414","24722","1150","179506","3011","194463","278","37741","1004","36763","975","978","203","156722","1039","956292","1289","716387","1289","469514","3007","423","155","469091","3020","448898","3087","20193","1108","246873","3027","239905","298","31178","976","30584","999","594","146","208727","1005","0400000US05","Arkansas"
"19002551","23263","9441113","12839","7708962","12042","6133816","12750","79772","1775","6054044","12673","5705911","12701","348133","4507","1575146","8718","1732151","2617","413873","3289","397068","3310","16805","871","1318278","3628","9561438","12748","7446615","11512","5071651","13373","10221","700","5061430","13439","4764090","12579","297340","3631","2374964","10574","2114823","3218","318788","2905","307344","2868","11444","729","1796035","4015","0400000US06","California"
"3824023","5112","1914447","2986","1590811","2948","1325776","3786","22230","947","1303546","3775","1247300","4241","56246","1766","265035","3303","323636","563","83094","1605","80626","1569","2468","260","240542","1664","1909576","2931","1527399","2974","1134940","4119","3886","467","1131054","4127","1086896","4279","44158","1721","392459","3824","382177","681","64633","1414","62946","1365","1687","274","317544","1587","0400000US08","Colorado"
"2273943","3886","1097036","2244","865709","2147","713014","3363","6689","486","706325","3323","667954","3473","38371","1442","152695","2654","231327","486","62904","1352","60597","1302","2307","241","168423","1399","1176907","2340","878932","2213","664088","3372","593","161","663495","3387","631446","3662","32049","1263","214844","3244","297975","485","53812","1263","52031","1246","1781","271","244163","1310","0400000US09","Connecticut"
"550615","1105","265459","736","201182","736","161526","1291","2151","293","159375","1283","151371","1324","8004","750","39656","1057","64277","162","13984","529","13502","538","482","120","50293","539","285156","742","207149","744","149498","1594","515","227","148983","1626","142223","1596","6760","623","57651","1540","78007","152","11520","598","11080","572","440","177","66487","624","0400000US10","Delaware"
"254127","1249","126697","770","112068","736","98758","881","1828","239","96930","900","94338","1034","2592","369","13310","829","14629","177","5670","396","5553","405","117","74","8959","430","127430","800","110877","745","94456","1092","390","122","94066","1114","91417","1134","2649","397","16421","800","16553","235","4810","349","4656","346","154","84","11743","372","0400000US11","District of Columbia"
